,gender,enrolled_university,education_level,company_type,last_new_job,LookingForJobChange Has relevent experience,LookingForJobChange No relevent experience
568,Female,no_enrollment,High School,Pvt Ltd,1,No,
569,Female,no_enrollment,High School,Pvt Ltd,2,No,
570,Female,no_enrollment,High School,Pvt Ltd,3,No,
571,Female,no_enrollment,High School,Pvt Ltd,>4,No,
572,Female,no_enrollment,High School,Pvt Ltd,never,No,
573,Female,no_enrollment,Masters,,,Yes,
574,Female,no_enrollment,Masters,,1,Yes,No
575,Female,no_enrollment,Masters,,2,No,No
576,Female,no_enrollment,Masters,,3,Yes,Yes
577,Female,no_enrollment,Masters,,4,No,Yes
578,Female,no_enrollment,Masters,,>4,No,No
579,Female,no_enrollment,Masters,,never,No,No
580,Female,no_enrollment,Masters,Early Stage Startup,1,No,Yes
581,Female,no_enrollment,Masters,Early Stage Startup,4,No,
582,Female,no_enrollment,Masters,Funded Startup,1,Yes,No
583,Female,no_enrollment,Masters,Funded Startup,2,No,No
584,Female,no_enrollment,Masters,Funded Startup,3,No,
585,Female,no_enrollment,Masters,Funded Startup,4,No,
586,Female,no_enrollment,Masters,Funded Startup,never,,Yes
587,Female,no_enrollment,Masters,NGO,1,No,No
588,Female,no_enrollment,Masters,NGO,3,No,
589,Female,no_enrollment,Masters,NGO,4,No,
590,Female,no_enrollment,Masters,NGO,>4,Yes,No
591,Female,no_enrollment,Masters,Other,>4,No,Yes
592,Female,no_enrollment,Masters,Other,never,Yes,
593,Female,no_enrollment,Masters,Public Sector,1,No,No
594,Female,no_enrollment,Masters,Public Sector,2,Yes,No
595,Female,no_enrollment,Masters,Public Sector,3,No,
596,Female,no_enrollment,Masters,Public Sector,4,No,No
597,Female,no_enrollment,Masters,Public Sector,>4,No,No
598,Female,no_enrollment,Masters,Pvt Ltd,,Yes,
599,Female,no_enrollment,Masters,Pvt Ltd,1,No,Yes
600,Female,no_enrollment,Masters,Pvt Ltd,2,No,No
601,Female,no_enrollment,Masters,Pvt Ltd,3,Yes,
602,Female,no_enrollment,Masters,Pvt Ltd,4,No,No
603,Female,no_enrollment,Masters,Pvt Ltd,>4,Yes,No
604,Female,no_enrollment,Masters,Pvt Ltd,never,No,Yes
605,Female,no_enrollment,Phd,,1,No,
606,Female,no_enrollment,Phd,,2,No,Yes
607,Female,no_enrollment,Phd,Funded Startup,1,No,
608,Female,no_enrollment,Phd,Funded Startup,2,No,
609,Female,no_enrollment,Phd,NGO,1,Yes,No
610,Female,no_enrollment,Phd,NGO,2,,No
611,Female,no_enrollment,Phd,NGO,4,,Yes
612,Female,no_enrollment,Phd,NGO,>4,No,
613,Female,no_enrollment,Phd,Public Sector,1,,No
614,Female,no_enrollment,Phd,Public Sector,2,No,No
615,Female,no_enrollment,Phd,Public Sector,4,No,No
616,Female,no_enrollment,Phd,Public Sector,>4,No,No
617,Female,no_enrollment,Phd,Public Sector,never,No,
618,Female,no_enrollment,Phd,Pvt Ltd,1,No,No
619,Female,no_enrollment,Phd,Pvt Ltd,2,No,
620,Female,no_enrollment,Phd,Pvt Ltd,3,Yes,
621,Female,no_enrollment,Phd,Pvt Ltd,>4,No,No
622,Female,no_enrollment,Primary School,,never,,No
623,Female,no_enrollment,Primary School,Early Stage Startup,1,No,
624,Male,,,,,Yes,No
625,Male,,,,1,No,No
626,Male,,,,>4,Yes,
627,Male,,,,never,No,No
628,Male,,,Pvt Ltd,,No,
629,Male,,,Pvt Ltd,1,Yes,
630,Male,,,Pvt Ltd,2,No,
631,Male,,,Pvt Ltd,never,,No
632,Male,,Graduate,,1,No,Yes
633,Male,,Graduate,,2,No,No
634,Male,,Graduate,,4,Yes,
635,Male,,Graduate,,>4,No,Yes
636,Male,,Graduate,,never,No,Yes
637,Male,,Graduate,Early Stage Startup,1,Yes,
638,Male,,Graduate,Early Stage Startup,never,Yes,Yes
639,Male,,Graduate,Funded Startup,1,No,
640,Male,,Graduate,NGO,1,No,
641,Male,,Graduate,NGO,2,,Yes
642,Male,,Graduate,Public Sector,3,No,No
643,Male,,Graduate,Public Sector,4,No,
644,Male,,Graduate,Public Sector,never,No,
645,Male,,Graduate,Pvt Ltd,,Yes,
646,Male,,Graduate,Pvt Ltd,1,Yes,Yes
647,Male,,Graduate,Pvt Ltd,2,No,
648,Male,,Graduate,Pvt Ltd,3,No,
649,Male,,Graduate,Pvt Ltd,4,No,
650,Male,,Graduate,Pvt Ltd,>4,No,Yes
651,Male,,High School,,1,Yes,No
652,Male,,High School,,never,,Yes
653,Male,,High School,Funded Startup,2,No,
654,Male,,High School,Public Sector,3,No,
655,Male,,High School,Pvt Ltd,1,No,
656,Male,,High School,Pvt Ltd,2,No,
657,Male,,High School,Pvt Ltd,never,,No
658,Male,,Masters,,,,No
659,Male,,Masters,,1,Yes,No
660,Male,,Masters,,2,No,
661,Male,,Masters,,never,,Yes
662,Male,,Masters,Early Stage Startup,,Yes,
663,Male,,Masters,Early Stage Startup,1,Yes,
664,Male,,Masters,Funded Startup,1,Yes,
665,Male,,Masters,NGO,1,No,No
666,Male,,Masters,Public Sector,1,Yes,
667,Male,,Masters,Pvt Ltd,1,Yes,Yes
668,Male,,Masters,Pvt Ltd,2,No,
669,Male,,Masters,Pvt Ltd,4,Yes,
670,Male,,Masters,Pvt Ltd,>4,Yes,
671,Male,,Phd,,1,,No
672,Male,,Phd,Funded Startup,>4,No,
673,Male,,Primary School,,1,,Yes
674,Male,,Primary School,,never,,No
675,Male,Full time course,,,,,No
676,Male,Full time course,,,1,Yes,Yes
677,Male,Full time course,,,2,,No
678,Male,Full time course,,,>4,Yes,No
679,Male,Full time course,,,never,,No
680,Male,Full time course,,Early Stage Startup,1,No,
681,Male,Full time course,,Pvt Ltd,1,No,No
682,Male,Full time course,,Pvt Ltd,2,No,
683,Male,Full time course,,Pvt Ltd,>4,,No
684,Male,Full time course,,Pvt Ltd,never,,No
685,Male,Full time course,Graduate,,,No,Yes
686,Male,Full time course,Graduate,,1,Yes,No
687,Male,Full time course,Graduate,,2,Yes,Yes
688,Male,Full time course,Graduate,,3,No,Yes
689,Male,Full time course,Graduate,,4,No,Yes
690,Male,Full time course,Graduate,,>4,No,No
691,Male,Full time course,Graduate,,never,Yes,No
692,Male,Full time course,Graduate,Early Stage Startup,1,No,Yes
693,Male,Full time course,Graduate,Early Stage Startup,2,No,
694,Male,Full time course,Graduate,Early Stage Startup,4,No,
695,Male,Full time course,Graduate,Early Stage Startup,never,No,No
696,Male,Full time course,Graduate,Funded Startup,1,No,No
697,Male,Full time course,Graduate,Funded Startup,2,Yes,
698,Male,Full time course,Graduate,Funded Startup,3,No,
699,Male,Full time course,Graduate,Funded Startup,4,,No
700,Male,Full time course,Graduate,Funded Startup,>4,No,
701,Male,Full time course,Graduate,Funded Startup,never,No,
702,Male,Full time course,Graduate,NGO,,Yes,
703,Male,Full time course,Graduate,NGO,1,No,No
704,Male,Full time course,Graduate,NGO,2,No,No
705,Male,Full time course,Graduate,NGO,3,,No
706,Male,Full time course,Graduate,NGO,4,No,
707,Male,Full time course,Graduate,NGO,>4,No,No
708,Male,Full time course,Graduate,Other,,,No
709,Male,Full time course,Graduate,Other,1,No,No
710,Male,Full time course,Graduate,Other,>4,,No
711,Male,Full time course,Graduate,Public Sector,1,No,No
712,Male,Full time course,Graduate,Public Sector,2,No,Yes
713,Male,Full time course,Graduate,Public Sector,3,No,
714,Male,Full time course,Graduate,Public Sector,4,Yes,No
715,Male,Full time course,Graduate,Public Sector,>4,,Yes
716,Male,Full time course,Graduate,Public Sector,never,No,No
717,Male,Full time course,Graduate,Pvt Ltd,,Yes,
718,Male,Full time course,Graduate,Pvt Ltd,1,No,No
719,Male,Full time course,Graduate,Pvt Ltd,2,No,No
720,Male,Full time course,Graduate,Pvt Ltd,3,No,Yes
721,Male,Full time course,Graduate,Pvt Ltd,4,Yes,No
722,Male,Full time course,Graduate,Pvt Ltd,>4,No,No
723,Male,Full time course,Graduate,Pvt Ltd,never,No,No
724,Male,Full time course,High School,,,No,No
725,Male,Full time course,High School,,1,No,No
726,Male,Full time course,High School,,2,Yes,No
727,Male,Full time course,High School,,3,No,Yes
728,Male,Full time course,High School,,4,,Yes
729,Male,Full time course,High School,,>4,No,No
730,Male,Full time course,High School,,never,No,Yes
731,Male,Full time course,High School,Early Stage Startup,1,Yes,Yes
732,Male,Full time course,High School,Early Stage Startup,2,No,Yes
733,Male,Full time course,High School,Early Stage Startup,never,,No
734,Male,Full time course,High School,Funded Startup,1,No,No
735,Male,Full time course,High School,Funded Startup,2,No,
736,Male,Full time course,High School,Funded Startup,3,No,
737,Male,Full time course,High School,Funded Startup,never,No,No
738,Male,Full time course,High School,NGO,1,No,Yes
739,Male,Full time course,High School,NGO,2,Yes,Yes
740,Male,Full time course,High School,NGO,4,,No
741,Male,Full time course,High School,NGO,never,,No
742,Male,Full time course,High School,Other,1,No,No
743,Male,Full time course,High School,Other,never,Yes,
744,Male,Full time course,High School,Public Sector,1,No,No
745,Male,Full time course,High School,Public Sector,2,No,Yes
746,Male,Full time course,High School,Public Sector,3,,No
747,Male,Full time course,High School,Public Sector,>4,,No
748,Male,Full time course,High School,Public Sector,never,No,
749,Male,Full time course,High School,Pvt Ltd,1,No,No
750,Male,Full time course,High School,Pvt Ltd,2,No,No
751,Male,Full time course,High School,Pvt Ltd,3,No,No
752,Male,Full time course,High School,Pvt Ltd,4,No,No
753,Male,Full time course,High School,Pvt Ltd,>4,No,No
754,Male,Full time course,High School,Pvt Ltd,never,Yes,No
755,Male,Full time course,Masters,,,Yes,Yes
756,Male,Full time course,Masters,,1,No,No
757,Male,Full time course,Masters,,2,Yes,No
758,Male,Full time course,Masters,,3,Yes,No
759,Male,Full time course,Masters,,4,No,Yes
760,Male,Full time course,Masters,,>4,No,Yes
761,Male,Full time course,Masters,,never,No,Yes
762,Male,Full time course,Masters,Early Stage Startup,1,Yes,
763,Male,Full time course,Masters,Early Stage Startup,2,No,
764,Male,Full time course,Masters,Funded Startup,1,No,No
765,Male,Full time course,Masters,Funded Startup,2,No,
766,Male,Full time course,Masters,NGO,1,No,No
767,Male,Full time course,Masters,NGO,2,Yes,No
768,Male,Full time course,Masters,NGO,3,No,No
769,Male,Full time course,Masters,NGO,>4,No,Yes
770,Male,Full time course,Masters,Other,,,Yes
771,Male,Full time course,Masters,Other,4,,Yes
772,Male,Full time course,Masters,Public Sector,,No,No
773,Male,Full time course,Masters,Public Sector,1,No,No
774,Male,Full time course,Masters,Public Sector,2,No,No
775,Male,Full time course,Masters,Public Sector,3,,No
776,Male,Full time course,Masters,Public Sector,4,No,Yes
777,Male,Full time course,Masters,Public Sector,>4,No,Yes
778,Male,Full time course,Masters,Public Sector,never,No,No
779,Male,Full time course,Masters,Pvt Ltd,1,Yes,No
780,Male,Full time course,Masters,Pvt Ltd,2,No,Yes
781,Male,Full time course,Masters,Pvt Ltd,3,No,
782,Male,Full time course,Masters,Pvt Ltd,4,No,No
783,Male,Full time course,Masters,Pvt Ltd,>4,No,No
784,Male,Full time course,Masters,Pvt Ltd,never,Yes,No
785,Male,Full time course,Phd,,1,Yes,No
786,Male,Full time course,Phd,,>4,No,
787,Male,Full time course,Phd,NGO,2,No,
788,Male,Full time course,Phd,Public Sector,1,No,Yes
789,Male,Full time course,Phd,Public Sector,>4,,No
790,Male,Full time course,Phd,Pvt Ltd,>4,No,
791,Male,Full time course,Primary School,,1,No,No
792,Male,Full time course,Primary School,,2,,No
793,Male,Full time course,Primary School,,never,,No
794,Male,Full time course,Primary School,Public Sector,2,No,
795,Male,Full time course,Primary School,Pvt Ltd,never,,No
796,Male,Part time course,,,1,No,
797,Male,Part time course,,,2,,Yes
798,Male,Part time course,,,never,No,
799,Male,Part time course,,Early Stage Startup,1,Yes,
800,Male,Part time course,,Pvt Ltd,1,No,No
801,Male,Part time course,,Pvt Ltd,2,Yes,
802,Male,Part time course,Graduate,,,No,
803,Male,Part time course,Graduate,,1,Yes,Yes
804,Male,Part time course,Graduate,,2,Yes,No
805,Male,Part time course,Graduate,,3,Yes,Yes
806,Male,Part time course,Graduate,,4,No,Yes
807,Male,Part time course,Graduate,,>4,Yes,Yes
808,Male,Part time course,Graduate,,never,No,Yes
809,Male,Part time course,Graduate,Early Stage Startup,1,No,No
810,Male,Part time course,Graduate,Early Stage Startup,2,No,No
811,Male,Part time course,Graduate,Early Stage Startup,4,No,Yes
812,Male,Part time course,Graduate,Early Stage Startup,never,No,
813,Male,Part time course,Graduate,Funded Startup,,,No
814,Male,Part time course,Graduate,Funded Startup,1,No,No
815,Male,Part time course,Graduate,Funded Startup,2,Yes,No
816,Male,Part time course,Graduate,Funded Startup,3,No,
817,Male,Part time course,Graduate,Funded Startup,4,No,
818,Male,Part time course,Graduate,Funded Startup,>4,No,
819,Male,Part time course,Graduate,NGO,1,No,No
820,Male,Part time course,Graduate,NGO,2,No,No
821,Male,Part time course,Graduate,NGO,3,No,
822,Male,Part time course,Graduate,NGO,4,,No
823,Male,Part time course,Graduate,NGO,>4,No,No
824,Male,Part time course,Graduate,NGO,never,No,
825,Male,Part time course,Graduate,Public Sector,1,No,No
826,Male,Part time course,Graduate,Public Sector,2,No,No
827,Male,Part time course,Graduate,Public Sector,3,No,No
828,Male,Part time course,Graduate,Public Sector,4,No,
829,Male,Part time course,Graduate,Public Sector,>4,No,No
830,Male,Part time course,Graduate,Pvt Ltd,,No,
831,Male,Part time course,Graduate,Pvt Ltd,1,No,No
832,Male,Part time course,Graduate,Pvt Ltd,2,No,No
833,Male,Part time course,Graduate,Pvt Ltd,3,No,No
834,Male,Part time course,Graduate,Pvt Ltd,4,Yes,
835,Male,Part time course,Graduate,Pvt Ltd,>4,No,No
836,Male,Part time course,Graduate,Pvt Ltd,never,No,No
837,Male,Part time course,High School,,1,No,No
838,Male,Part time course,High School,,2,No,No
839,Male,Part time course,High School,,4,No,
840,Male,Part time course,High School,,>4,Yes,Yes
841,Male,Part time course,High School,,never,Yes,No
842,Male,Part time course,High School,Early Stage Startup,1,,No
843,Male,Part time course,High School,Early Stage Startup,never,,Yes
844,Male,Part time course,High School,Funded Startup,1,No,No
845,Male,Part time course,High School,Funded Startup,2,No,
846,Male,Part time course,High School,NGO,>4,No,
847,Male,Part time course,High School,Other,1,,No
848,Male,Part time course,High School,Other,2,No,
849,Male,Part time course,High School,Public Sector,1,No,
850,Male,Part time course,High School,Public Sector,2,No,No
851,Male,Part time course,High School,Public Sector,3,No,
852,Male,Part time course,High School,Pvt Ltd,1,No,No
853,Male,Part time course,High School,Pvt Ltd,2,Yes,No
854,Male,Part time course,High School,Pvt Ltd,3,No,No
855,Male,Part time course,High School,Pvt Ltd,4,No,
856,Male,Part time course,High School,Pvt Ltd,>4,No,No
857,Male,Part time course,High School,Pvt Ltd,never,,No
858,Male,Part time course,Masters,,1,No,No
859,Male,Part time course,Masters,,2,Yes,Yes
860,Male,Part time course,Masters,,3,No,No
861,Male,Part time course,Masters,,4,No,
862,Male,Part time course,Masters,,>4,Yes,Yes
863,Male,Part time course,Masters,,never,No,No
864,Male,Part time course,Masters,Early Stage Startup,1,No,No
865,Male,Part time course,Masters,Funded Startup,1,No,No
866,Male,Part time course,Masters,Funded Startup,2,No,
867,Male,Part time course,Masters,NGO,1,No,No
868,Male,Part time course,Masters,NGO,2,,No
869,Male,Part time course,Masters,NGO,3,No,
870,Male,Part time course,Masters,NGO,>4,,No
871,Male,Part time course,Masters,Public Sector,1,Yes,No
872,Male,Part time course,Masters,Public Sector,2,No,No
873,Male,Part time course,Masters,Public Sector,3,No,No
874,Male,Part time course,Masters,Public Sector,>4,No,No
875,Male,Part time course,Masters,Public Sector,never,,No
876,Male,Part time course,Masters,Pvt Ltd,1,No,No
877,Male,Part time course,Masters,Pvt Ltd,2,No,
878,Male,Part time course,Masters,Pvt Ltd,3,No,No
879,Male,Part time course,Masters,Pvt Ltd,4,No,No
880,Male,Part time course,Masters,Pvt Ltd,>4,No,No
881,Male,Part time course,Masters,Pvt Ltd,never,,No
882,Male,Part time course,Phd,,>4,No,No
883,Male,Part time course,Phd,Other,3,,No
884,Male,Part time course,Phd,Public Sector,2,,No
885,Male,Part time course,Phd,Public Sector,>4,No,
886,Male,Part time course,Phd,Pvt Ltd,4,,No
887,Male,Part time course,Phd,Pvt Ltd,>4,Yes,
888,Male,Part time course,Primary School,,1,No,No
889,Male,Part time course,Primary School,,4,No,
890,Male,Part time course,Primary School,Early Stage Startup,never,,No
891,Male,Part time course,Primary School,Pvt Ltd,1,No,
892,Male,no_enrollment,,,,,No
893,Male,no_enrollment,,,1,No,No
894,Male,no_enrollment,,,2,No,No
895,Male,no_enrollment,,,3,No,
896,Male,no_enrollment,,,4,Yes,
897,Male,no_enrollment,,,>4,Yes,
898,Male,no_enrollment,,,never,No,No
899,Male,no_enrollment,,Early Stage Startup,1,No,
900,Male,no_enrollment,,Early Stage Startup,3,No,
901,Male,no_enrollment,,Funded Startup,1,No,
902,Male,no_enrollment,,Funded Startup,3,No,
903,Male,no_enrollment,,Funded Startup,>4,No,
904,Male,no_enrollment,,Other,1,No,
905,Male,no_enrollment,,Other,3,Yes,
906,Male,no_enrollment,,Public Sector,2,No,No
907,Male,no_enrollment,,Public Sector,3,Yes,
908,Male,no_enrollment,,Public Sector,>4,No,
909,Male,no_enrollment,,Pvt Ltd,,,Yes
910,Male,no_enrollment,,Pvt Ltd,1,No,
911,Male,no_enrollment,,Pvt Ltd,2,No,No
912,Male,no_enrollment,,Pvt Ltd,3,No,
913,Male,no_enrollment,,Pvt Ltd,4,No,
914,Male,no_enrollment,,Pvt Ltd,>4,No,No
915,Male,no_enrollment,,Pvt Ltd,never,,No
916,Male,no_enrollment,Graduate,,,No,Yes
917,Male,no_enrollment,Graduate,,1,No,No
918,Male,no_enrollment,Graduate,,2,No,Yes
919,Male,no_enrollment,Graduate,,3,Yes,Yes
920,Male,no_enrollment,Graduate,,4,No,No
921,Male,no_enrollment,Graduate,,>4,No,No
922,Male,no_enrollment,Graduate,,never,No,Yes
923,Male,no_enrollment,Graduate,Early Stage Startup,1,Yes,Yes
924,Male,no_enrollment,Graduate,Early Stage Startup,2,No,
925,Male,no_enrollment,Graduate,Early Stage Startup,3,Yes,
926,Male,no_enrollment,Graduate,Early Stage Startup,4,No,
927,Male,no_enrollment,Graduate,Early Stage Startup,>4,No,No
928,Male,no_enrollment,Graduate,Early Stage Startup,never,No,No
929,Male,no_enrollment,Graduate,Funded Startup,,No,
930,Male,no_enrollment,Graduate,Funded Startup,1,No,No
931,Male,no_enrollment,Graduate,Funded Startup,2,No,No
932,Male,no_enrollment,Graduate,Funded Startup,3,No,No
933,Male,no_enrollment,Graduate,Funded Startup,4,No,
934,Male,no_enrollment,Graduate,Funded Startup,>4,No,No
935,Male,no_enrollment,Graduate,Funded Startup,never,No,No
936,Male,no_enrollment,Graduate,NGO,1,No,No
937,Male,no_enrollment,Graduate,NGO,2,No,No
938,Male,no_enrollment,Graduate,NGO,3,No,No
939,Male,no_enrollment,Graduate,NGO,4,No,No
940,Male,no_enrollment,Graduate,NGO,>4,No,Yes
941,Male,no_enrollment,Graduate,NGO,never,No,No
942,Male,no_enrollment,Graduate,Other,1,Yes,Yes
943,Male,no_enrollment,Graduate,Other,2,Yes,
944,Male,no_enrollment,Graduate,Other,3,Yes,
945,Male,no_enrollment,Graduate,Other,4,No,
946,Male,no_enrollment,Graduate,Other,>4,No,No
947,Male,no_enrollment,Graduate,Other,never,Yes,Yes
948,Male,no_enrollment,Graduate,Public Sector,1,No,No
949,Male,no_enrollment,Graduate,Public Sector,2,No,No
950,Male,no_enrollment,Graduate,Public Sector,3,Yes,No
951,Male,no_enrollment,Graduate,Public Sector,4,No,
952,Male,no_enrollment,Graduate,Public Sector,>4,No,No
953,Male,no_enrollment,Graduate,Public Sector,never,No,No
954,Male,no_enrollment,Graduate,Pvt Ltd,,No,
955,Male,no_enrollment,Graduate,Pvt Ltd,1,No,No
956,Male,no_enrollment,Graduate,Pvt Ltd,2,No,No
957,Male,no_enrollment,Graduate,Pvt Ltd,3,Yes,No
958,Male,no_enrollment,Graduate,Pvt Ltd,4,No,No
959,Male,no_enrollment,Graduate,Pvt Ltd,>4,Yes,No
960,Male,no_enrollment,Graduate,Pvt Ltd,never,No,No
961,Male,no_enrollment,High School,,,,No
962,Male,no_enrollment,High School,,1,No,Yes
963,Male,no_enrollment,High School,,2,No,No
964,Male,no_enrollment,High School,,3,No,No
965,Male,no_enrollment,High School,,4,No,No
966,Male,no_enrollment,High School,,>4,No,No
967,Male,no_enrollment,High School,,never,Yes,No
968,Male,no_enrollment,High School,Early Stage Startup,1,Yes,Yes
969,Male,no_enrollment,High School,Early Stage Startup,2,No,
970,Male,no_enrollment,High School,Early Stage Startup,3,No,
971,Male,no_enrollment,High School,Early Stage Startup,4,No,Yes
972,Male,no_enrollment,High School,Early Stage Startup,>4,No,
973,Male,no_enrollment,High School,Early Stage Startup,never,No,
974,Male,no_enrollment,High School,Funded Startup,1,No,No
975,Male,no_enrollment,High School,Funded Startup,2,,No
976,Male,no_enrollment,High School,Funded Startup,3,No,
977,Male,no_enrollment,High School,Funded Startup,>4,No,No
978,Male,no_enrollment,High School,NGO,2,,No
979,Male,no_enrollment,High School,NGO,>4,No,
980,Male,no_enrollment,High School,NGO,never,,No
981,Male,no_enrollment,High School,Other,1,No,
982,Male,no_enrollment,High School,Other,2,No,No
983,Male,no_enrollment,High School,Other,>4,No,
984,Male,no_enrollment,High School,Public Sector,1,No,No
985,Male,no_enrollment,High School,Public Sector,2,No,
986,Male,no_enrollment,High School,Public Sector,4,No,
987,Male,no_enrollment,High School,Public Sector,>4,No,No
988,Male,no_enrollment,High School,Public Sector,never,,Yes
989,Male,no_enrollment,High School,Pvt Ltd,,No,
990,Male,no_enrollment,High School,Pvt Ltd,1,No,No
991,Male,no_enrollment,High School,Pvt Ltd,2,No,No
992,Male,no_enrollment,High School,Pvt Ltd,3,No,No
993,Male,no_enrollment,High School,Pvt Ltd,4,No,No
994,Male,no_enrollment,High School,Pvt Ltd,>4,No,No
995,Male,no_enrollment,High School,Pvt Ltd,never,No,No
996,Male,no_enrollment,Masters,,,No,Yes
997,Male,no_enrollment,Masters,,1,No,Yes
998,Male,no_enrollment,Masters,,2,No,Yes
999,Male,no_enrollment,Masters,,3,Yes,No
1000,Male,no_enrollment,Masters,,4,No,Yes
1001,Male,no_enrollment,Masters,,>4,Yes,No
1002,Male,no_enrollment,Masters,,never,No,No
1003,Male,no_enrollment,Masters,Early Stage Startup,1,No,No
1004,Male,no_enrollment,Masters,Early Stage Startup,2,No,No
1005,Male,no_enrollment,Masters,Early Stage Startup,3,No,No
1006,Male,no_enrollment,Masters,Early Stage Startup,4,Yes,No
1007,Male,no_enrollment,Masters,Early Stage Startup,>4,No,
1008,Male,no_enrollment,Masters,Early Stage Startup,never,No,
1009,Male,no_enrollment,Masters,Funded Startup,,No,
1010,Male,no_enrollment,Masters,Funded Startup,1,Yes,No
1011,Male,no_enrollment,Masters,Funded Startup,2,No,No
1012,Male,no_enrollment,Masters,Funded Startup,3,No,No
1013,Male,no_enrollment,Masters,Funded Startup,4,No,
1014,Male,no_enrollment,Masters,Funded Startup,>4,No,No
1015,Male,no_enrollment,Masters,Funded Startup,never,No,
1016,Male,no_enrollment,Masters,NGO,1,No,No
1017,Male,no_enrollment,Masters,NGO,2,No,No
1018,Male,no_enrollment,Masters,NGO,3,No,No
1019,Male,no_enrollment,Masters,NGO,4,No,No
1020,Male,no_enrollment,Masters,NGO,>4,No,Yes
1021,Male,no_enrollment,Masters,Other,1,No,
1022,Male,no_enrollment,Masters,Other,2,No,
1023,Male,no_enrollment,Masters,Other,4,No,
1024,Male,no_enrollment,Masters,Other,>4,No,
1025,Male,no_enrollment,Masters,Public Sector,1,No,No
1026,Male,no_enrollment,Masters,Public Sector,2,No,No
1027,Male,no_enrollment,Masters,Public Sector,3,No,No
1028,Male,no_enrollment,Masters,Public Sector,4,No,No
1029,Male,no_enrollment,Masters,Public Sector,>4,No,No
1030,Male,no_enrollment,Masters,Public Sector,never,No,No
1031,Male,no_enrollment,Masters,Pvt Ltd,,No,Yes
1032,Male,no_enrollment,Masters,Pvt Ltd,1,No,Yes
1033,Male,no_enrollment,Masters,Pvt Ltd,2,No,No
1034,Male,no_enrollment,Masters,Pvt Ltd,3,No,No
1035,Male,no_enrollment,Masters,Pvt Ltd,4,No,Yes
1036,Male,no_enrollment,Masters,Pvt Ltd,>4,No,No
1037,Male,no_enrollment,Masters,Pvt Ltd,never,No,No
1038,Male,no_enrollment,Phd,,1,No,No
1039,Male,no_enrollment,Phd,,2,Yes,
1040,Male,no_enrollment,Phd,,3,No,
1041,Male,no_enrollment,Phd,,4,No,No
1042,Male,no_enrollment,Phd,,>4,No,No
1043,Male,no_enrollment,Phd,,never,No,No
1044,Male,no_enrollment,Phd,Early Stage Startup,1,No,
1045,Male,no_enrollment,Phd,Early Stage Startup,2,No,
1046,Male,no_enrollment,Phd,Early Stage Startup,>4,No,
1047,Male,no_enrollment,Phd,Funded Startup,1,No,
1048,Male,no_enrollment,Phd,Funded Startup,2,No,
1049,Male,no_enrollment,Phd,Funded Startup,3,No,
1050,Male,no_enrollment,Phd,Funded Startup,4,No,
1051,Male,no_enrollment,Phd,Funded Startup,>4,No,
1052,Male,no_enrollment,Phd,NGO,1,No,No
1053,Male,no_enrollment,Phd,NGO,2,,No
1054,Male,no_enrollment,Phd,NGO,3,,Yes
1055,Male,no_enrollment,Phd,NGO,>4,Yes,No
1056,Male,no_enrollment,Phd,NGO,never,No,
1057,Male,no_enrollment,Phd,Public Sector,,,No
1058,Male,no_enrollment,Phd,Public Sector,1,No,No
1059,Male,no_enrollment,Phd,Public Sector,2,No,No
1060,Male,no_enrollment,Phd,Public Sector,3,No,No
1061,Male,no_enrollment,Phd,Public Sector,4,,No
1062,Male,no_enrollment,Phd,Public Sector,>4,No,No
1063,Male,no_enrollment,Phd,Public Sector,never,No,No
1064,Male,no_enrollment,Phd,Pvt Ltd,1,No,No
1065,Male,no_enrollment,Phd,Pvt Ltd,2,No,No
1066,Male,no_enrollment,Phd,Pvt Ltd,3,No,
1067,Male,no_enrollment,Phd,Pvt Ltd,4,No,No
1068,Male,no_enrollment,Phd,Pvt Ltd,>4,No,No
1069,Male,no_enrollment,Phd,Pvt Ltd,never,No,
1070,Male,no_enrollment,Primary School,,,,No
1071,Male,no_enrollment,Primary School,,1,No,No
1072,Male,no_enrollment,Primary School,,2,No,No
1073,Male,no_enrollment,Primary School,,3,No,
1074,Male,no_enrollment,Primary School,,4,,No
1075,Male,no_enrollment,Primary School,,>4,No,
1076,Male,no_enrollment,Primary School,,never,No,No
1077,Male,no_enrollment,Primary School,Funded Startup,1,No,
1078,Male,no_enrollment,Primary School,Funded Startup,2,No,
1079,Male,no_enrollment,Primary School,Funded Startup,4,Yes,
1080,Male,no_enrollment,Primary School,NGO,1,,No
1081,Male,no_enrollment,Primary School,NGO,2,No,
1082,Male,no_enrollment,Primary School,Other,1,No,
1083,Male,no_enrollment,Primary School,Public Sector,2,,No
1084,Male,no_enrollment,Primary School,Pvt Ltd,1,No,No
1085,Male,no_enrollment,Primary School,Pvt Ltd,2,No,
1086,Male,no_enrollment,Primary School,Pvt Ltd,3,,No
1087,Male,no_enrollment,Primary School,Pvt Ltd,4,Yes,
1088,Male,no_enrollment,Primary School,Pvt Ltd,>4,No,No
1089,Male,no_enrollment,Primary School,Pvt Ltd,never,No,No
1090,Other,,,,1,Yes,
1091,Other,,,,never,,No
1092,Other,,Graduate,,1,No,Yes
1093,Other,,Graduate,,never,,Yes
1094,Other,,Graduate,Pvt Ltd,1,No,
1095,Other,,Graduate,Pvt Ltd,never,No,
1096,Other,,High School,,never,,Yes
