,fixed_acidity,citric_acid,median_wine_quality red,median_wine_quality white
902,7.1,0.42,5.0,6.0
903,7.1,0.43,,6.0
904,7.1,0.44,6.0,7.0
905,7.1,0.46,,6.0
906,7.1,0.47,,5.0
907,7.1,0.49,6.0,5.0
908,7.1,0.5,,5.0
909,7.1,0.52,,5.0
910,7.1,0.56,,6.0
911,7.1,0.6,6.0,
912,7.1,0.61,,5.0
913,7.1,0.62,,6.0
914,7.1,0.64,,5.0
915,7.1,0.67,,5.0
916,7.1,0.72,,5.0
917,7.1,0.74,,6.0
918,7.1,0.79,,6.0
919,7.1,0.86,,5.0
920,7.15,0.24,,6.0
921,7.2,0.0,6.0,4.0
922,7.2,0.01,6.0,
923,7.2,0.02,6.0,
924,7.2,0.03,5.0,
925,7.2,0.04,5.0,
926,7.2,0.05,6.0,
927,7.2,0.06,6.0,
928,7.2,0.07,7.0,
929,7.2,0.08,5.0,
930,7.2,0.09,,4.0
931,7.2,0.1,,4.0
932,7.2,0.13,6.0,
933,7.2,0.14,6.0,
934,7.2,0.15,6.0,7.0
935,7.2,0.16,,5.0
936,7.2,0.18,6.0,5.0
937,7.2,0.19,,5.0
938,7.2,0.2,,5.0
939,7.2,0.21,6.0,6.0
940,7.2,0.22,,5.0
941,7.2,0.23,,5.0
942,7.2,0.24,5.0,5.0
943,7.2,0.25,,5.0
944,7.2,0.26,6.0,5.0
945,7.2,0.27,5.0,6.0
946,7.2,0.28,,7.0
947,7.2,0.29,,7.0
948,7.2,0.3,5.0,6.0
949,7.2,0.31,8.0,6.0
950,7.2,0.32,5.0,6.0
951,7.2,0.33,6.0,7.0
952,7.2,0.34,,6.0
953,7.2,0.35,,5.0
954,7.2,0.36,5.0,6.0
955,7.2,0.37,7.0,5.0
956,7.2,0.38,7.0,6.0
957,7.2,0.39,,6.0
958,7.2,0.4,,5.0
959,7.2,0.41,,5.0
960,7.2,0.42,,6.0
961,7.2,0.44,6.0,8.0
962,7.2,0.45,,6.0
963,7.2,0.46,7.0,5.0
964,7.2,0.47,,4.0
965,7.2,0.49,,6.0
966,7.2,0.5,,5.0
967,7.2,0.53,,5.0
968,7.2,0.54,4.0,6.0
969,7.2,0.61,,6.0
970,7.2,0.62,,4.0
971,7.2,0.63,,6.0
972,7.2,0.65,,5.0
973,7.2,0.74,,5.0
974,7.2,0.82,,6.0
975,7.2,1.0,,6.0
976,7.3,0.0,5.0,
977,7.3,0.01,7.0,
978,7.3,0.02,6.0,
979,7.3,0.03,5.0,
980,7.3,0.05,3.0,
981,7.3,0.08,5.0,
982,7.3,0.09,5.0,5.0
983,7.3,0.1,5.0,
984,7.3,0.16,,5.0
985,7.3,0.18,6.0,
986,7.3,0.2,6.0,6.0
987,7.3,0.21,5.0,6.0
988,7.3,0.22,,5.0
989,7.3,0.23,5.0,6.0
990,7.3,0.24,5.0,6.0
991,7.3,0.25,,7.0
992,7.3,0.26,5.0,5.0
993,7.3,0.27,,7.0
994,7.3,0.28,,6.0
995,7.3,0.29,,5.0
996,7.3,0.3,5.0,6.0
997,7.3,0.31,6.0,6.0
998,7.3,0.32,7.0,4.0
999,7.3,0.33,7.0,7.0
1000,7.3,0.34,,6.0
1001,7.3,0.35,,5.0
1002,7.3,0.36,5.0,7.0
1003,7.3,0.37,,6.0
1004,7.3,0.38,,7.0
1005,7.3,0.39,6.0,5.0
1006,7.3,0.4,,7.0
1007,7.3,0.41,,7.0
1008,7.3,0.42,,6.0
1009,7.3,0.43,,5.0
1010,7.3,0.44,,7.0
1011,7.3,0.47,6.0,
1012,7.3,0.48,,5.0
1013,7.3,0.49,5.0,7.0
1014,7.3,0.5,,6.0
1015,7.3,0.53,,6.0
1016,7.3,0.54,,4.0
1017,7.3,0.62,,6.0
1018,7.3,0.65,,6.0
1019,7.3,0.67,,5.0
1020,7.3,0.68,,6.0
1021,7.3,0.69,,5.0
1022,7.3,0.74,,5.0
1023,7.4,0.0,3.0,
1024,7.4,0.01,5.0,
1025,7.4,0.05,6.0,
1026,7.4,0.07,5.0,
1027,7.4,0.08,4.0,
1028,7.4,0.09,,5.0
1029,7.4,0.1,7.0,
1030,7.4,0.12,5.0,
1031,7.4,0.13,6.0,
1032,7.4,0.16,6.0,
1033,7.4,0.17,5.0,
1034,7.4,0.19,5.0,
1035,7.4,0.2,,5.0
1036,7.4,0.22,5.0,7.0
1037,7.4,0.23,,5.0
1038,7.4,0.24,5.0,5.0
1039,7.4,0.25,,6.0
1040,7.4,0.26,6.0,5.0
1041,7.4,0.27,6.0,7.0
1042,7.4,0.28,,7.0
1043,7.4,0.29,7.0,6.0
1044,7.4,0.3,8.0,7.0
1045,7.4,0.31,,5.0
1046,7.4,0.32,,6.0
1047,7.4,0.33,6.0,7.0
1048,7.4,0.34,7.0,5.0
1049,7.4,0.35,,6.0
1050,7.4,0.36,,6.0
1051,7.4,0.37,,6.0
1052,7.4,0.38,6.0,5.0
1053,7.4,0.39,,7.0
1054,7.4,0.4,,6.0
1055,7.4,0.41,,6.0
1056,7.4,0.42,,7.0
1057,7.4,0.43,6.0,7.0
1058,7.4,0.44,,5.0
1059,7.4,0.46,5.0,
1060,7.4,0.47,5.0,5.0
1061,7.4,0.48,5.0,5.0
1062,7.4,0.49,,6.0
1063,7.4,0.5,,5.0
1064,7.4,0.52,,6.0
1065,7.4,0.55,,6.0
1066,7.4,0.66,,5.0
1067,7.4,0.74,,5.0
1068,7.4,0.8,,5.0
1069,7.4,1.66,,6.0
1070,7.5,0.0,6.0,
1071,7.5,0.02,6.0,
1072,7.5,0.03,5.0,
1073,7.5,0.04,5.0,
1074,7.5,0.06,6.0,
1075,7.5,0.07,4.0,
1076,7.5,0.08,6.0,
1077,7.5,0.1,4.0,5.0
1078,7.5,0.11,5.0,
1079,7.5,0.12,6.0,
1080,7.5,0.14,5.0,5.0
1081,7.5,0.15,5.0,
1082,7.5,0.16,7.0,
1083,7.5,0.18,5.0,
1084,7.5,0.19,5.0,6.0
1085,7.5,0.2,5.0,6.0
1086,7.5,0.21,,5.0
1087,7.5,0.22,5.0,
1088,7.5,0.23,,5.0
1089,7.5,0.24,5.0,4.0
1090,7.5,0.25,,6.0
1091,7.5,0.26,5.0,5.0
1092,7.5,0.27,6.0,
1093,7.5,0.28,,6.0
1094,7.5,0.29,,7.0
1095,7.5,0.3,7.0,7.0
1096,7.5,0.31,5.0,6.0
1097,7.5,0.32,5.0,6.0
1098,7.5,0.33,,6.0
1099,7.5,0.34,7.0,7.0
1100,7.5,0.35,,7.0
1101,7.5,0.36,5.0,5.0
1102,7.5,0.37,,5.0
1103,7.5,0.38,,5.0
1104,7.5,0.39,,6.0
1105,7.5,0.4,6.0,6.0
1106,7.5,0.41,6.0,5.0
1107,7.5,0.42,6.0,
1108,7.5,0.44,,6.0
1109,7.5,0.45,,6.0
1110,7.5,0.47,,5.0
1111,7.5,0.48,4.0,5.0
1112,7.5,0.49,,7.0
1113,7.5,0.5,,6.0
1114,7.5,0.51,,5.0
1115,7.5,0.52,,5.0
1116,7.5,0.56,6.0,6.0
1117,7.5,0.57,6.0,
1118,7.5,0.59,,4.0
1119,7.5,0.62,,5.0
1120,7.5,0.67,,6.0
1121,7.5,0.68,,5.0
1122,7.5,0.71,,5.0
1123,7.5,0.72,,5.0
1124,7.5,0.74,,6.0
1125,7.5,0.78,,5.0
1126,7.5,0.79,,5.0
1127,7.5,1.0,,6.0
1128,7.6,0.0,6.0,
1129,7.6,0.02,6.0,
1130,7.6,0.03,5.0,
1131,7.6,0.06,5.0,
1132,7.6,0.08,5.0,
1133,7.6,0.1,5.0,
1134,7.6,0.11,5.0,
1135,7.6,0.12,5.0,4.0
1136,7.6,0.13,5.0,
1137,7.6,0.14,6.0,5.0
1138,7.6,0.15,6.0,
1139,7.6,0.17,,5.0
1140,7.6,0.2,,5.0
1141,7.6,0.21,5.0,
1142,7.6,0.22,,5.0
1143,7.6,0.23,5.0,5.0
1144,7.6,0.24,6.0,5.0
1145,7.6,0.25,5.0,5.0
1146,7.6,0.26,5.0,5.0
1147,7.6,0.27,,5.0
1148,7.6,0.28,,5.0
1149,7.6,0.29,5.0,5.0
1150,7.6,0.3,,8.0
1151,7.6,0.31,6.0,6.0
1152,7.6,0.32,5.0,5.0
1153,7.6,0.33,5.0,5.0
1154,7.6,0.34,7.0,5.0
1155,7.6,0.35,,6.0
1156,7.6,0.36,,4.0
1157,7.6,0.37,,5.0
1158,7.6,0.38,,6.0
1159,7.6,0.39,,6.0
1160,7.6,0.4,6.0,5.0
1161,7.6,0.41,,5.0
1162,7.6,0.42,6.0,5.0
1163,7.6,0.44,,6.0
1164,7.6,0.45,,5.0
1165,7.6,0.46,,5.0
1166,7.6,0.47,,5.0
1167,7.6,0.48,,5.0
1168,7.6,0.49,6.0,5.0
1169,7.6,0.51,,5.0
1170,7.6,0.52,,6.0
1171,7.6,0.58,,5.0
1172,7.6,0.6,6.0,7.0
1173,7.6,0.64,,5.0
1174,7.6,0.68,,5.0
1175,7.6,0.74,,7.0
1176,7.6,1.23,,6.0
1177,7.7,0.0,5.0,
1178,7.7,0.01,7.0,
1179,7.7,0.04,5.0,
1180,7.7,0.05,5.0,
1181,7.7,0.06,6.0,
1182,7.7,0.08,6.0,
1183,7.7,0.1,6.0,
1184,7.7,0.12,7.0,
1185,7.7,0.15,5.0,
1186,7.7,0.18,6.0,6.0
1187,7.7,0.2,5.0,
1188,7.7,0.21,6.0,
1189,7.7,0.22,5.0,
1190,7.7,0.23,5.0,6.0
1191,7.7,0.24,,6.0
1192,7.7,0.25,6.0,
1193,7.7,0.26,5.0,5.0
1194,7.7,0.27,5.0,6.0
1195,7.7,0.28,5.0,7.0
1196,7.7,0.29,,6.0
1197,7.7,0.3,7.0,5.0
1198,7.7,0.31,,6.0
1199,7.7,0.32,,6.0
1200,7.7,0.33,,7.0
1201,7.7,0.34,6.0,6.0
1202,7.7,0.35,,5.0
1203,7.7,0.36,,6.0
1204,7.7,0.37,6.0,5.0
1205,7.7,0.38,,6.0
1206,7.7,0.39,,7.0
1207,7.7,0.4,,5.0
1208,7.7,0.41,,7.0
1209,7.7,0.42,5.0,5.0
1210,7.7,0.43,5.0,6.0
1211,7.7,0.44,,6.0
1212,7.7,0.46,,5.0
1213,7.7,0.48,,7.0
1214,7.7,0.49,5.0,8.0
1215,7.7,0.51,,6.0
1216,7.7,0.52,,7.0
1217,7.7,0.53,,5.0
1218,7.7,0.58,,5.0
1219,7.7,0.61,,5.0
1220,7.7,0.62,,6.0
1221,7.7,0.63,,4.0
1222,7.7,0.68,7.0,
1223,7.7,0.76,5.0,
1224,7.7,1.0,,6.0
1225,7.8,0.0,5.0,
1226,7.8,0.01,5.0,
1227,7.8,0.02,7.0,
1228,7.8,0.04,5.0,
1229,7.8,0.05,5.0,
1230,7.8,0.06,5.0,
1231,7.8,0.07,6.0,
1232,7.8,0.08,6.0,
1233,7.8,0.09,8.0,
1234,7.8,0.1,7.0,
1235,7.8,0.12,6.0,
1236,7.8,0.13,6.0,
1237,7.8,0.14,6.0,
1238,7.8,0.17,5.0,
1239,7.8,0.18,5.0,6.0
1240,7.8,0.19,5.0,
1241,7.8,0.2,,6.0
1242,7.8,0.22,,6.0
1243,7.8,0.23,,6.0
1244,7.8,0.24,,7.0
1245,7.8,0.25,6.0,6.0
1246,7.8,0.26,6.0,6.0
1247,7.8,0.27,,5.0
1248,7.8,0.28,5.0,5.0
1249,7.8,0.29,5.0,6.0
1250,7.8,0.3,6.0,5.0
1251,7.8,0.31,5.0,5.0
1252,7.8,0.32,5.0,6.0
1253,7.8,0.33,5.0,6.0
1254,7.8,0.34,,7.0
1255,7.8,0.35,5.0,6.0
1256,7.8,0.36,,6.0
1257,7.8,0.37,6.0,5.0
1258,7.8,0.38,,5.0
1259,7.8,0.39,,8.0
1260,7.8,0.4,,7.0
1261,7.8,0.41,,6.0
1262,7.8,0.42,6.0,
1263,7.8,0.44,7.0,5.0
1264,7.8,0.46,,8.0
1265,7.8,0.48,5.0,
1266,7.8,0.49,,7.0
1267,7.8,0.5,,6.0
1268,7.8,0.56,,5.0
1269,7.8,0.58,,6.0
1270,7.8,0.6,,6.0
1271,7.8,0.68,6.0,
1272,7.8,0.7,5.0,
1273,7.8,0.74,,6.0
1274,7.9,0.0,6.0,
1275,7.9,0.01,5.0,
1276,7.9,0.03,4.0,
1277,7.9,0.05,6.0,
1278,7.9,0.06,5.0,
1279,7.9,0.17,5.0,
1280,7.9,0.21,5.0,
1281,7.9,0.22,,5.0
1282,7.9,0.23,5.0,
1283,7.9,0.24,6.0,6.0
1284,7.9,0.25,6.0,
1285,7.9,0.26,5.0,6.0
1286,7.9,0.27,,6.0
1287,7.9,0.28,,6.0
1288,7.9,0.29,6.0,7.0
1289,7.9,0.3,6.0,4.0
1290,7.9,0.31,6.0,5.0
1291,7.9,0.32,6.0,7.0
1292,7.9,0.33,5.0,6.0
1293,7.9,0.34,8.0,6.0
1294,7.9,0.35,7.0,5.0
1295,7.9,0.36,7.0,6.0
1296,7.9,0.37,,5.0
1297,7.9,0.38,,7.0
1298,7.9,0.39,,5.0
1299,7.9,0.4,5.0,6.0
1300,7.9,0.41,6.0,8.0
1301,7.9,0.42,6.0,
1302,7.9,0.44,,6.0
1303,7.9,0.45,,7.0
1304,7.9,0.46,8.0,3.0
1305,7.9,0.49,6.0,5.0
1306,7.9,0.51,6.0,5.0
1307,7.9,0.53,,5.0
1308,7.9,0.6,,5.0
1309,7.9,0.64,,7.0
1310,7.9,0.68,7.0,
1311,7.9,0.74,,5.0
1312,8.0,0.0,5.0,
1313,8.0,0.03,5.0,
1314,8.0,0.05,6.0,
1315,8.0,0.06,6.0,
1316,8.0,0.08,5.0,
1317,8.0,0.13,,5.0
1318,8.0,0.16,7.0,
1319,8.0,0.17,6.0,4.0
1320,8.0,0.21,5.0,5.0
1321,8.0,0.22,5.0,
1322,8.0,0.23,6.0,
1323,8.0,0.24,6.0,5.0
1324,8.0,0.25,5.0,6.0
1325,8.0,0.26,,4.0
1326,8.0,0.27,4.0,6.0
1327,8.0,0.28,6.0,7.0
1328,8.0,0.29,,6.0
1329,8.0,0.3,6.0,6.0
1330,8.0,0.31,,5.0
1331,8.0,0.32,6.0,7.0
1332,8.0,0.33,6.0,7.0
1333,8.0,0.34,6.0,
1334,8.0,0.35,5.0,6.0
1335,8.0,0.36,5.0,7.0
1336,8.0,0.37,6.0,4.0
1337,8.0,0.38,,5.0
1338,8.0,0.39,6.0,6.0
1339,8.0,0.4,,5.0
1340,8.0,0.41,,5.0
1341,8.0,0.42,,5.0
1342,8.0,0.43,6.0,6.0
1343,8.0,0.44,6.0,6.0
1344,8.0,0.45,7.0,
1345,8.0,0.46,,6.0
1346,8.0,0.48,,5.0
1347,8.0,0.49,,6.0
1348,8.0,0.53,6.0,
1349,8.0,0.56,5.0,
1350,8.0,0.57,,5.0
1351,8.0,0.63,6.0,
1352,8.0,0.71,,5.0
1353,8.0,0.72,,4.0
1354,8.1,0.0,5.0,
1355,8.1,0.09,6.0,
1356,8.1,0.1,5.0,
1357,8.1,0.18,6.0,
1358,8.1,0.21,,6.0
1359,8.1,0.22,5.0,5.0
1360,8.1,0.23,5.0,
1361,8.1,0.24,6.0,5.0
1362,8.1,0.26,,6.0
1363,8.1,0.27,,6.0
1364,8.1,0.28,7.0,6.0
1365,8.1,0.3,,5.0
1366,8.1,0.31,,6.0
1367,8.1,0.32,,7.0
1368,8.1,0.33,,6.0
1369,8.1,0.34,,6.0
1370,8.1,0.35,,8.0
1371,8.1,0.36,7.0,7.0
1372,8.1,0.37,,6.0
1373,8.1,0.38,,6.0
1374,8.1,0.39,,6.0
1375,8.1,0.4,,6.0
1376,8.1,0.41,,5.0
1377,8.1,0.42,,7.0
1378,8.1,0.43,,6.0
1379,8.1,0.44,5.0,8.0
1380,8.1,0.46,,4.0
1381,8.1,0.47,,5.0
1382,8.1,0.48,5.0,
1383,8.1,0.49,,6.0
1384,8.1,0.52,5.0,
1385,8.1,0.55,5.0,
1386,8.1,0.58,,6.0
1387,8.1,0.59,,5.0
1388,8.1,0.7,5.0,
1389,8.2,0.0,4.0,
1390,8.2,0.09,6.0,
1391,8.2,0.1,6.0,
1392,8.2,0.17,5.0,
1393,8.2,0.2,5.0,
1394,8.2,0.21,5.0,
1395,8.2,0.23,5.0,
1396,8.2,0.24,6.0,
1397,8.2,0.26,5.0,6.0
1398,8.2,0.27,6.0,5.0
1399,8.2,0.28,,7.0
1400,8.2,0.29,5.0,6.0
1401,8.2,0.3,,6.0
1402,8.2,0.31,6.0,6.0
1403,8.2,0.32,7.0,6.0
1404,8.2,0.33,6.0,5.0
1405,8.2,0.34,6.0,5.0
1406,8.2,0.35,5.0,
1407,8.2,0.36,,8.0
1408,8.2,0.37,6.0,5.0
1409,8.2,0.38,5.0,6.0
1410,8.2,0.39,7.0,6.0
1411,8.2,0.4,7.0,6.0
1412,8.2,0.42,6.0,5.0
1413,8.2,0.43,6.0,6.0
1414,8.2,0.44,6.0,6.0
1415,8.2,0.45,,5.0
1416,8.2,0.46,,5.0
1417,8.2,0.48,,5.0
1418,8.2,0.49,6.0,6.0
1419,8.2,0.6,5.0,
1420,8.2,0.64,,5.0
1421,8.2,1.0,,5.0
1422,8.3,0.0,6.0,
1423,8.3,0.01,4.0,
1424,8.3,0.02,3.0,
1425,8.3,0.1,5.0,
1426,8.3,0.12,5.0,
1427,8.3,0.13,6.0,
1428,8.3,0.14,5.0,
1429,8.3,0.15,5.0,
1430,8.3,0.2,4.0,
1431,8.3,0.22,5.0,
1432,8.3,0.23,,5.0
1433,8.3,0.24,5.0,
1434,8.3,0.25,5.0,
1435,8.3,0.26,4.0,6.0
1436,8.3,0.27,,6.0
1437,8.3,0.28,6.0,
1438,8.3,0.29,6.0,
1439,8.3,0.3,6.0,6.0
1440,8.3,0.31,,6.0
1441,8.3,0.33,,5.0
1442,8.3,0.34,,6.0
1443,8.3,0.35,,6.0
1444,8.3,0.36,6.0,5.0
1445,8.3,0.37,6.0,5.0
1446,8.3,0.38,6.0,5.0
1447,8.3,0.39,7.0,5.0
1448,8.3,0.4,6.0,7.0
1449,8.3,0.41,,7.0
1450,8.3,0.42,6.0,3.0
1451,8.3,0.43,,6.0
1452,8.3,0.45,,6.0
1453,8.3,0.48,7.0,6.0
1454,8.3,0.49,7.0,5.0
1455,8.3,0.51,,5.0
1456,8.3,0.57,,5.0
1457,8.3,0.58,,6.0
1458,8.3,0.62,,5.0
1459,8.3,0.7,,5.0
1460,8.3,0.74,,6.0
1461,8.4,0.04,5.0,
1462,8.4,0.08,5.0,
1463,8.4,0.09,5.0,
1464,8.4,0.1,6.0,
1465,8.4,0.11,5.0,
1466,8.4,0.12,6.0,
1467,8.4,0.15,5.0,
1468,8.4,0.19,4.0,
1469,8.4,0.2,5.0,
1470,8.4,0.22,6.0,
1471,8.4,0.25,,5.0
1472,8.4,0.27,,6.0
1473,8.4,0.28,,5.0
1474,8.4,0.29,5.0,4.0
1475,8.4,0.3,,6.0
1476,8.4,0.31,,7.0
1477,8.4,0.32,6.0,6.0
1478,8.4,0.33,,6.0
1479,8.4,0.35,,6.0
1480,8.4,0.36,4.0,6.0
1481,8.4,0.38,,6.0
1482,8.4,0.39,7.0,
1483,8.4,0.4,5.0,5.0
1484,8.4,0.42,6.0,5.0
1485,8.4,0.43,7.0,5.0
1486,8.4,0.44,,5.0
1487,8.4,0.46,,6.0
1488,8.4,0.49,,6.0
1489,8.4,0.53,6.0,
1490,8.4,0.56,,6.0
1491,8.4,0.6,5.0,
1492,8.4,0.61,5.0,
1493,8.4,0.7,,5.0
1494,8.4,0.71,,5.0
1495,8.5,0.11,5.0,
1496,8.5,0.18,6.0,
1497,8.5,0.2,6.0,
1498,8.5,0.21,,3.0
1499,8.5,0.26,,6.0
1500,8.5,0.27,6.0,6.0
1501,8.5,0.28,,7.0
1502,8.5,0.3,,4.0
1503,8.5,0.31,5.0,5.0
1504,8.5,0.32,6.0,
1505,8.5,0.33,,6.0
1506,8.5,0.34,,4.0
1507,8.5,0.35,7.0,5.0
1508,8.5,0.36,,6.0
1509,8.5,0.39,,6.0
1510,8.5,0.4,4.0,6.0
1511,8.5,0.41,,6.0
1512,8.5,0.42,7.0,
1513,8.5,0.44,5.0,
1514,8.5,0.47,,5.0
1515,8.5,0.48,,6.0
1516,8.5,0.49,5.0,6.0
1517,8.5,0.5,5.0,
1518,8.5,0.51,7.0,
1519,8.5,0.52,5.0,
1520,8.5,0.56,7.0,6.0
1521,8.5,0.59,5.0,
1522,8.5,0.74,,5.0
1523,8.6,0.0,6.0,
1524,8.6,0.09,5.0,
1525,8.6,0.1,6.0,
1526,8.6,0.11,5.0,
1527,8.6,0.17,5.0,
1528,8.6,0.22,6.0,
1529,8.6,0.24,5.0,
1530,8.6,0.25,6.0,5.0
1531,8.6,0.26,,5.0
1532,8.6,0.27,5.0,
1533,8.6,0.28,6.0,5.0
1534,8.6,0.29,5.0,5.0
1535,8.6,0.3,5.0,5.0
1536,8.6,0.31,6.0,
1537,8.6,0.33,,5.0
1538,8.6,0.34,,6.0
1539,8.6,0.35,,3.0
1540,8.6,0.36,5.0,4.0
1541,8.6,0.38,5.0,6.0
1542,8.6,0.39,8.0,
1543,8.6,0.4,5.0,5.0
1544,8.6,0.41,,5.0
1545,8.6,0.42,,7.0
1546,8.6,0.46,,6.0
1547,8.6,0.47,5.0,
1548,8.6,0.49,,6.0
1549,8.6,0.51,5.0,
1550,8.6,0.65,5.0,
1551,8.6,0.68,5.0,
1552,8.6,0.7,,6.0
1553,8.7,0.0,5.0,
1554,8.7,0.02,5.0,
1555,8.7,0.09,7.0,
1556,8.7,0.1,5.0,
1557,8.7,0.16,5.0,
1558,8.7,0.21,,4.0
1559,8.7,0.22,5.0,
1560,8.7,0.24,6.0,
1561,8.7,0.26,6.0,
1562,8.7,0.28,6.0,
1563,8.7,0.3,7.0,6.0
1564,8.7,0.31,5.0,
1565,8.7,0.32,,7.0
1566,8.7,0.34,,7.0
1567,8.7,0.35,,5.0
1568,8.7,0.38,7.0,
1569,8.7,0.4,,6.0
1570,8.7,0.41,7.0,
1571,8.7,0.42,,5.0
1572,8.7,0.45,6.0,
1573,8.7,0.46,6.0,6.0
1574,8.7,0.51,5.0,
1575,8.7,0.52,5.0,
1576,8.7,0.57,,5.0
1577,8.7,0.59,,4.0
1578,8.7,0.73,,5.0
1579,8.8,0.0,6.0,
1580,8.8,0.04,6.0,
1581,8.8,0.05,4.0,
1582,8.8,0.14,5.0,
1583,8.8,0.17,5.0,
1584,8.8,0.18,5.0,
1585,8.8,0.19,6.0,
1586,8.8,0.21,5.0,
1587,8.8,0.23,,6.0
1588,8.8,0.25,,5.0
1589,8.8,0.26,5.0,
1590,8.8,0.28,,5.0
1591,8.8,0.29,5.0,
1592,8.8,0.3,4.0,5.0
1593,8.8,0.33,,5.0
1594,8.8,0.34,5.0,6.0
1595,8.8,0.35,7.0,6.0
1596,8.8,0.36,,6.0
1597,8.8,0.38,6.0,6.0
1598,8.8,0.39,6.0,
1599,8.8,0.4,7.0,
1600,8.8,0.41,7.0,
1601,8.8,0.43,6.0,6.0
1602,8.8,0.44,,7.0
1603,8.8,0.45,6.0,7.0
1604,8.8,0.46,6.0,
1605,8.8,0.48,5.0,
1606,8.8,0.49,5.0,4.0
1607,8.8,0.54,5.0,
1608,8.8,0.64,5.0,
1609,8.8,0.74,,6.0
1610,8.9,0.13,5.0,
1611,8.9,0.14,5.0,
1612,8.9,0.18,5.0,
1613,8.9,0.19,5.0,
1614,8.9,0.21,6.0,
1615,8.9,0.24,5.0,
1616,8.9,0.28,,6.0
1617,8.9,0.31,6.0,
1618,8.9,0.32,7.0,5.0
1619,8.9,0.33,,6.0
1620,8.9,0.34,6.0,5.0
1621,8.9,0.35,6.0,7.0
1622,8.9,0.36,5.0,
1623,8.9,0.37,5.0,5.0
1624,8.9,0.39,6.0,
1625,8.9,0.4,7.0,
1626,8.9,0.41,5.0,
1627,8.9,0.45,7.0,
1628,8.9,0.48,6.0,
1629,8.9,0.49,5.0,5.0
1630,8.9,0.5,6.0,
1631,8.9,0.51,7.0,
1632,8.9,0.53,7.0,
1633,8.9,0.57,5.0,
1634,9.0,0.0,5.0,
1635,9.0,0.04,5.0,
1636,9.0,0.05,5.0,
1637,9.0,0.12,6.0,
1638,9.0,0.14,5.0,
1639,9.0,0.17,5.0,
1640,9.0,0.23,5.0,
1641,9.0,0.24,5.0,
1642,9.0,0.25,5.0,
1643,9.0,0.29,5.0,
1644,9.0,0.3,,5.0
1645,9.0,0.31,6.0,
1646,9.0,0.32,5.0,
1647,9.0,0.33,,6.0
1648,9.0,0.34,6.0,6.0
1649,9.0,0.35,,6.0
1650,9.0,0.38,,6.0
1651,9.0,0.4,6.0,
1652,9.0,0.41,7.0,
1653,9.0,0.43,6.0,
1654,9.0,0.48,,5.0
1655,9.0,0.49,5.0,5.0
1656,9.0,0.5,,6.0
1657,9.0,0.52,6.0,
1658,9.0,0.53,,5.0
1659,9.1,0.0,6.0,
1660,9.1,0.04,4.0,
1661,9.1,0.11,6.0,
1662,9.1,0.15,5.0,
1663,9.1,0.22,5.0,
1664,9.1,0.23,5.0,
1665,9.1,0.24,6.0,
1666,9.1,0.3,6.0,
1667,9.1,0.32,6.0,5.0
1668,9.1,0.33,7.0,
1669,9.1,0.34,7.0,
1670,9.1,0.35,5.0,
1671,9.1,0.37,7.0,
1672,9.1,0.38,,3.0
1673,9.1,0.39,7.0,
1674,9.1,0.41,7.0,
1675,9.1,0.42,5.0,
1676,9.1,0.45,,9.0
1677,9.1,0.46,6.0,
1678,9.1,0.48,6.0,
1679,9.1,0.49,5.0,5.0
1680,9.1,0.5,8.0,
1681,9.1,0.57,6.0,
1682,9.1,0.68,6.0,
1683,9.2,0.1,6.0,
1684,9.2,0.18,6.0,
1685,9.2,0.2,5.0,
1686,9.2,0.21,5.0,
1687,9.2,0.23,5.0,6.0
1688,9.2,0.24,5.0,
1689,9.2,0.27,,5.0
1690,9.2,0.3,,6.0
1691,9.2,0.31,5.0,
1692,9.2,0.34,6.0,6.0
1693,9.2,0.35,,5.0
1694,9.2,0.36,7.0,
1695,9.2,0.37,,6.0
1696,9.2,0.39,,4.0
1697,9.2,0.4,,4.0
1698,9.2,0.41,,6.0
1699,9.2,0.42,,4.0
1700,9.2,0.46,,5.0
1701,9.2,0.49,5.0,4.0
1702,9.2,0.5,7.0,
1703,9.2,0.52,6.0,
1704,9.2,0.54,,6.0
1705,9.2,0.68,,6.0
1706,9.2,1.0,4.0,
1707,9.3,0.24,5.0,
1708,9.3,0.26,5.0,
1709,9.3,0.27,6.0,
1710,9.3,0.29,5.0,
1711,9.3,0.33,,4.0
1712,9.3,0.36,6.0,
1713,9.3,0.39,6.0,
1714,9.3,0.4,6.0,
1715,9.3,0.41,5.0,
1716,9.3,0.44,5.0,
1717,9.3,0.45,7.0,
1718,9.3,0.48,6.0,
1719,9.3,0.49,5.0,5.0
1720,9.3,0.57,5.0,
1721,9.4,0.11,6.0,
1722,9.4,0.14,5.0,
1723,9.4,0.23,,5.0
1724,9.4,0.24,6.0,
1725,9.4,0.26,5.0,
1726,9.4,0.28,5.0,
1727,9.4,0.29,,3.0
1728,9.4,0.3,,5.0
1729,9.4,0.31,6.0,
1730,9.4,0.32,,5.0
1731,9.4,0.33,6.0,
1732,9.4,0.34,6.0,
1733,9.4,0.37,5.0,
1734,9.4,0.46,7.0,
1735,9.4,0.47,5.0,
1736,9.4,0.48,7.0,
1737,9.4,0.53,7.0,6.0
1738,9.4,0.55,,4.0
1739,9.4,0.56,8.0,5.0
1740,9.4,0.59,6.0,
1741,9.5,0.1,6.0,
1742,9.5,0.22,6.0,
