ResourceApproved,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
Yes,37942,20138,5110,117954,117895,117899,117897,19721,117900
Yes,40997,23339,117961,118300,118783,118321,118406,290919,118322
Yes,4675,8147,117961,118327,145424,118321,117906,290919,118322
Yes,25890,7076,117961,118225,119238,119093,150341,119095,119096
Yes,79092,6220,117961,118327,121645,122269,122270,118643,122271
Yes,80195,58488,117916,117917,117920,118568,186980,19721,118570
Yes,33149,1614,117961,118327,118507,129909,185973,118453,129911
Yes,35498,6982,117961,118300,118783,118784,213944,290919,118786
Yes,80181,1903,117961,118343,118514,118321,117906,290919,118322
Yes,4675,29134,117961,118300,121977,117905,117906,290919,117908
Yes,1020,49850,117961,118413,122007,132671,118260,290919,132673
No,38205,60985,118185,31010,117912,117885,117913,117887,117888
Yes,34863,112642,119301,119302,119303,117905,117906,290919,117908
Yes,39939,3267,117961,118052,118053,120097,174445,270488,120099
Yes,79092,8607,117961,118225,118403,117905,240983,290919,117908
Yes,32270,5604,117961,118343,119598,118636,235245,118638,118639
Yes,1969,2000,117932,117933,117878,117879,117879,19721,117880
Yes,19722,7491,117961,118300,119181,117905,240983,290919,117908
Yes,74750,3889,117961,118386,121668,117905,117906,290919,117908
Yes,34147,4413,91261,118026,118833,119962,168365,118205,119964
No,81266,15389,117961,118225,122870,124886,128018,118643,124888
Yes,79955,6235,117961,118343,118437,119949,127527,290919,119951
Yes,33146,1271,117961,118327,118507,118890,138290,118398,118892
Yes,18072,15631,118256,119428,118623,126684,193644,292795,126685
Yes,4675,7331,117961,118300,118360,118361,118362,118363,118364
Yes,75057,7703,117943,117944,117945,117946,117947,292795,117948
Yes,45044,6029,118216,118217,118810,118811,309981,19793,118813
Yes,74664,7807,117961,118327,118518,118207,190710,270488,118209
Yes,111653,6199,117961,118225,120663,118321,117906,290919,118322
Yes,17226,4909,117961,118300,118458,120006,143820,118424,120008
Yes,1937,6216,117961,118052,118328,124886,306399,118643,124888
Yes,7543,6454,117961,118343,118856,117905,172635,290919,117908
Yes,26399,22800,117961,118343,119796,118636,185784,118638,118639
Yes,28294,7411,117961,118386,118746,118747,130134,118453,118749
Yes,74717,2395,117961,118300,123055,118728,301534,118295,118730
Yes,22271,7076,117961,118225,119238,119093,150341,119095,119096
Yes,18688,4299,117876,117877,117878,117879,117879,19721,117880
Yes,79711,7081,117961,118225,119924,118685,120316,308574,118687
Yes,33150,5496,91261,118026,118202,117905,117906,290919,117908
Yes,23096,3966,117961,118343,122012,118321,240983,290919,118322
Yes,18913,31857,117929,117930,117920,117879,117886,19721,117880
Yes,42654,3549,117961,118225,119136,120001,120002,118474,120003
Yes,6912,2765,118290,118291,118301,120344,267006,118424,120346
Yes,45117,2344,118212,118213,120823,118396,269406,118398,118399
Yes,23356,1755,117961,117962,119223,125793,146749,118643,125795
Yes,15716,55670,117902,118041,117945,280788,280788,292795,119082
Yes,37951,72396,118000,118001,117878,179731,150184,117887,117973
Yes,45013,3116,117961,118300,147589,118826,236735,118424,118828
Yes,40685,1398,117961,118300,118437,117905,240983,290919,117908
Yes,34026,3046,117961,118413,118481,118685,120679,308574,118687
No,80230,70056,117961,118225,118403,118777,279443,308574,118779
Yes,79328,3120,117961,118300,120312,118792,255249,118424,118794
Yes,42593,51096,119596,119597,124266,118728,272276,118295,118730
Yes,32270,119350,117961,118386,118522,129561,134045,3130,129563
Yes,15030,3526,117961,118225,120323,122849,120324,119095,122850
Yes,81482,1443,117961,118343,120722,117905,117906,290919,117908
Yes,38719,50570,118079,118080,117878,117879,304519,19721,117880
Yes,716,4636,117902,117903,119181,120952,130134,118453,120954
Yes,80195,7445,117961,118343,122299,118054,305057,117887,118055
Yes,35376,8091,117961,118386,118522,118321,117906,290919,118322
Yes,7543,46149,117961,118327,4674,118321,117906,290919,118322
Yes,43876,50472,118079,118080,117878,117885,118177,117887,117888
Yes,96471,79114,117961,118225,124449,119849,310589,118638,119851
Yes,36429,15961,119280,119281,117945,126684,193644,292795,126685
Yes,40630,2378,117876,117877,117878,247659,163031,19721,247660
Yes,15064,1600,117961,118327,118507,118054,120514,117887,118055
No,1732,18096,118256,118257,118623,118995,286106,292795,118997
Yes,3853,92496,117961,118300,123719,118685,279443,308574,118687
Yes,17278,8784,117961,118300,119890,118834,150799,118424,118836
Yes,27082,18224,117961,117969,118970,118890,125128,118398,118892
Yes,80762,7525,117961,118225,120551,117905,240983,290919,117908
Yes,33248,21033,117961,118300,123749,119849,166593,118638,119851
Yes,38632,7651,117961,118386,118746,118321,117906,290919,118322
Yes,31672,3526,117961,118225,120323,119093,152422,119095,119096
No,38205,29335,118185,31010,117912,117879,117886,19721,117880
Yes,31441,4993,117961,118343,118979,118826,134537,118424,118828
Yes,79092,7578,117961,118343,120722,118321,118448,290919,118322
Yes,27323,16855,117961,118225,119092,122849,120324,119095,122850
Yes,975,8435,117961,118225,124449,122129,150283,121916,122131
Yes,4675,3000,117961,118225,120551,117905,117906,290919,117908
Yes,77953,79986,117989,117990,117920,121067,124097,121069,121070
Yes,42093,5228,119596,119597,168533,120789,301124,118424,120791
Yes,41325,16757,117961,118225,122273,118321,117906,290919,118322
Yes,80747,1402,118290,118291,118437,120313,137017,118424,120315
Yes,18418,4914,117961,118300,120026,119433,133686,118424,119435
No,74347,7545,117961,118300,123719,118685,120316,308574,118687
Yes,80555,1412,117902,117903,119181,118451,130134,118453,118454
Yes,34628,2034,117961,118052,118328,299559,118204,118205,163732
Yes,7543,3077,117961,118300,120312,124194,124195,118363,124196
Yes,6977,7445,117961,118343,122299,179731,118054,117887,117973
Yes,971,4139,117961,118300,123055,120344,188011,118424,120346
No,20270,59765,117961,118386,118317,118523,294485,118331,118525
Yes,75078,41801,117961,118386,128516,119849,213826,118638,119851
Yes,75078,4434,117961,118052,120671,118321,118448,290919,118322
Yes,75873,8433,117961,118327,118929,118321,117906,290919,118322
Yes,75078,71203,117961,118386,118522,132737,133652,123689,132739
Yes,110357,52687,117961,117962,117904,128230,302830,4673,128231
Yes,42690,1443,117961,118343,120722,118784,117906,290919,118786
Yes,15720,4659,117961,118225,120663,117905,240983,290919,117908
Yes,43912,1806,117961,118413,122007,118321,117906,290919,118322
Yes,73741,54683,117961,117962,117904,179731,147116,117887,117973
Yes,40299,7393,117902,117903,120428,117905,117906,290919,117908
Yes,3853,3230,117961,118386,121961,120348,249620,118295,120350
Yes,18418,5106,117961,118300,118597,307024,311622,118331,118332
Yes,3853,5524,117961,118343,118514,117905,117906,290919,117908
Yes,45904,55934,118006,118007,117878,179731,135616,117887,117973
Yes,23921,4375,117961,118343,120347,307024,132719,118331,118332
Yes,29123,96999,119691,119692,118635,131795,127126,119695,131797
Yes,17308,4031,117961,118300,120026,118422,239205,118424,118425
Yes,37732,20972,117978,117979,118846,179731,261141,117887,117973
Yes,80881,2270,117961,118413,277693,120773,155692,118960,120774
Yes,23497,2694,118887,118888,118458,120344,217919,118424,120346
Yes,41643,6482,117961,118052,118821,118321,117906,290919,118322
Yes,112098,2296,117961,118413,277693,120773,118959,118960,120774
Yes,75718,2270,117961,118413,277693,118777,279443,308574,118779
Yes,684,46149,117961,118327,4674,118451,130134,118453,118454
Yes,16342,29134,117961,118300,28618,118321,240983,290919,118322
Yes,27124,26320,117961,118327,118391,118321,118448,290919,118322
Yes,34583,669,117961,118343,118437,117905,117906,290919,117908
Yes,77203,3237,117961,119256,119257,117946,118806,292795,117948
Yes,34869,94844,117961,117969,121617,121618,121619,121620,121621
Yes,25882,8370,117961,118300,121176,120560,304465,118643,120562
Yes,19989,3332,117961,118343,121747,118784,130735,290919,118786
Yes,79299,70260,117961,118225,120535,120647,159051,118398,120649
Yes,77198,5657,117961,118300,121176,117905,117906,290919,117908
Yes,43219,7067,117961,118225,118403,117905,240983,290919,117908
Yes,6705,6201,117961,118225,120663,118321,117906,290919,118322
Yes,45610,55934,118006,118007,117878,179731,135616,117887,117973
Yes,1937,1088,117961,118327,119830,117905,117906,290919,117908
Yes,17183,5540,117961,118300,123472,118321,117906,290919,118322
Yes,23921,5001,117961,118300,123055,120006,128578,118424,120008
Yes,34327,4584,117961,118300,120297,118321,240983,290919,118322
Yes,80837,4110,119596,119597,118292,118728,282017,118295,118730
Yes,32270,49521,117961,118300,123055,120006,150350,118424,120008
Yes,20897,126165,117961,118343,127491,118530,278014,118131,118532
Yes,45412,2072,118138,118139,131868,119192,308590,119184,119194
Yes,14570,51104,117876,117877,117878,118568,189996,19721,118570
Yes,75834,56193,117961,118300,120410,117905,117906,290919,117908
Yes,1281,16225,117961,117962,122059,120690,120690,290919,120692
Yes,20279,53250,117890,117891,117878,117879,117879,19721,117880
Yes,16030,51138,117961,118413,119968,117905,117906,290919,117908
Yes,80699,3905,117961,118343,119945,118321,117906,290919,118322
Yes,73107,49772,91261,118026,118746,118747,126309,118453,118749
Yes,15369,3933,117961,118343,119796,119849,157686,118638,119851
Yes,20331,5899,117961,118327,120318,118641,240982,118643,118644
Yes,18913,98229,117975,117976,117884,117879,117886,19721,117880
Yes,971,70264,117961,118343,118437,118523,306404,118331,118525
Yes,14354,50359,118114,118115,117884,117879,117886,19721,117880
Yes,27124,5742,117961,118327,120559,118685,279443,308574,118687
Yes,35531,57757,117961,118343,142038,118321,117906,290919,118322
Yes,78591,31061,118212,118580,117895,117896,117913,117887,117898
Yes,34613,3722,117961,118300,120059,118636,124718,118638,118639
No,25212,858,117961,118327,118529,118777,279443,308574,118779
Yes,81091,2318,117961,118327,118933,118321,117906,290919,118322
Yes,23096,23338,117961,118052,122392,118207,174445,270488,118209
Yes,72345,59748,117961,118386,121961,118784,117906,290919,118786
Yes,79967,15784,117961,118343,128639,118777,279443,308574,118779
Yes,74348,21869,117961,118327,118507,118396,158043,118398,118399
Yes,5390,820,117961,118300,123719,118777,279443,308574,118779
Yes,43876,118151,118079,118080,117878,117879,118177,19721,117880
Yes,78745,8234,117961,118300,118783,118784,117906,290919,118786
Yes,81390,18044,117961,118386,118522,118321,123513,290919,118322
Yes,28149,28246,118315,118463,123089,118784,130219,290919,118786
Yes,81006,1313,117961,117962,117904,118368,118368,117887,118486
No,34924,767,117961,118343,120722,120516,123107,120518,120519
Yes,13878,117887,117961,117969,123766,162860,162861,155173,162862
Yes,18913,12418,117929,117930,117920,123191,123191,19721,123192
Yes,3853,13845,117961,117962,118791,118792,211906,118424,118794
Yes,39631,55638,119280,119281,118623,118995,136748,292795,118997
Yes,75078,261301,118315,118316,120764,118465,172360,118467,118468
Yes,32303,55132,118169,118170,118042,118563,158413,270488,118565
Yes,32424,2109,117876,117877,120694,124886,205741,118643,124888
Yes,312122,3869,117961,118225,129617,118747,236002,118453,118749
Yes,37639,57516,118120,118121,117920,117879,117886,19721,117880
Yes,115013,4743,119062,130600,120663,120773,118959,118960,120774
Yes,17278,120113,118725,118726,119076,118422,300136,118424,118425
Yes,75901,17251,117961,118300,121108,120344,202649,118424,120346
Yes,25993,6454,117961,118343,118856,118321,117906,290919,118322
Yes,78167,14829,117961,118052,119986,118321,117906,290919,118322
Yes,189629,2373,117961,117962,118501,118685,279443,308574,118687
Yes,18072,7748,118573,118574,117945,117946,144259,292795,117948
Yes,70496,1116,117961,118343,123454,117905,117906,290919,117908
Yes,42085,14857,117961,118300,121176,118784,117906,290919,118786
Yes,38719,51382,118079,118080,117878,117885,117913,117887,117888
Yes,27356,16573,117961,117969,6725,159677,159678,159679,159680
Yes,44812,3332,117961,118343,121747,118784,121873,290919,118786
Yes,917,66791,117916,118011,117884,117879,117886,19721,117880
No,45856,3697,120140,120141,118933,118747,261774,118453,118749
Yes,33329,2983,117961,118343,118700,117905,240983,290919,117908
Yes,19312,25323,118006,118007,117920,117899,117897,19721,117900
Yes,34950,2631,117961,118327,120624,118784,123644,290919,118786
Yes,28572,33884,118670,118671,117895,117896,117913,117887,117898
Yes,38704,87239,117893,117894,117895,117885,117913,117887,117888
Yes,38764,205,117961,118386,118746,118784,118785,290919,118786
Yes,75901,3883,117961,118343,119987,118536,132799,308574,118539
Yes,41576,3944,117961,118343,118514,117905,117906,290919,117908
Yes,45238,67326,117910,117911,117912,118568,198040,19721,118570
Yes,31226,1249,117961,118386,118910,118321,117906,290919,118322
Yes,41949,8242,117961,117962,119223,118841,306399,118643,118843
Yes,15714,15484,118256,119428,117945,126684,130913,292795,126685
Yes,1020,85475,117961,118300,120410,118321,117906,290919,118322
Yes,29697,222415,120140,120141,120559,120952,128432,118453,120954
Yes,34769,4199,117961,118225,118403,118321,117906,290919,118322
Yes,45444,21837,117961,118327,118507,118890,138290,118398,118892
Yes,1937,5490,117961,117962,5488,120560,304465,118643,120562
Yes,26825,17156,117961,118300,118810,123082,197687,19793,123084
Yes,44911,79111,117961,118343,119945,119928,231633,118331,119929
Yes,5404,5409,117961,118343,119993,118321,117906,290919,118322
Yes,28294,57758,117961,118343,149210,118702,120065,118704,118705
Yes,77213,1080,117961,118327,118378,118451,151171,118453,118454
Yes,34924,7547,117961,118327,118933,118784,124402,290919,118786
Yes,75834,59267,117961,117962,120924,120418,301534,249618,120419
No,24016,16850,117961,118225,119092,119093,132519,119095,119096
Yes,35042,671,117961,117962,118352,118321,240983,290919,118322
Yes,27356,7069,117961,118386,123844,118784,117906,290919,118786
Yes,73176,17920,117961,117962,117963,118811,286597,19793,118813
Yes,20897,94844,117961,117969,121617,124799,124800,121620,124801
Yes,28818,23198,117961,117962,118352,120690,117906,290919,120692
Yes,25624,7398,117961,118225,119924,118321,117906,290919,118322
Yes,81370,51318,117961,118300,119890,118368,254718,117887,118486
Yes,21710,6997,117961,118343,149210,117905,117906,290919,117908
No,73105,131053,117961,118327,118507,118890,138290,118398,118892
Yes,79983,16821,117961,118225,120535,118396,269406,118398,118399
Yes,117708,5652,117961,118300,121305,118321,117906,290919,118322
Yes,38200,65834,117983,117984,117878,118568,292195,19721,118570
Yes,32270,4904,119170,119171,121747,118834,127405,118424,118836
Yes,35529,58414,117902,117903,120059,118636,310589,118638,118639
Yes,30570,4478,117961,118386,118692,118321,117906,290919,118322
Yes,45104,1274,118887,118888,118889,118863,307233,118398,118865
Yes,79092,6235,117961,118343,118437,118777,279443,308574,118779
Yes,4675,19642,117961,118413,118481,118321,118448,290919,118322
Yes,81488,8195,117961,118343,120270,123648,123649,120518,123650
Yes,37009,49353,117961,117962,118910,118321,117906,290919,118322
Yes,22643,2409,117961,117962,117904,118368,118368,117887,118486
Yes,37260,13213,117876,117877,117878,117879,177815,19721,117880
Yes,42031,71202,117961,118386,118522,128764,279169,118612,128765
Yes,18072,3509,118752,119070,118042,118043,118043,270488,118046
Yes,75901,25686,118541,118542,118562,126138,127068,124136,126140
Yes,1020,105908,117961,118225,129617,118702,132654,118704,118705
Yes,79092,3266,117961,118225,120323,120591,120592,119095,120593
Yes,6977,4013,117961,118300,118514,117905,117906,290919,117908
Yes,92383,17550,117961,118446,118684,118321,117906,290919,118322
Yes,35751,2129,119134,119135,118450,119192,150595,119184,119194
Yes,19722,7491,117961,118300,119181,118321,117906,290919,118322
Yes,20284,27430,117980,117981,117884,117879,117886,19721,117880
Yes,4675,71391,117961,118386,118522,117905,287351,290919,117908
Yes,38470,30754,117876,117877,117878,179731,139250,117887,117973
Yes,33248,5234,117961,118343,118660,119433,133686,118424,119435
Yes,25885,1945,118595,118596,118450,121372,125738,119184,121374
Yes,3853,17660,117961,118225,124380,118054,120514,117887,118055
Yes,74909,83351,117961,118386,119954,118318,168365,118205,118319
Yes,44722,54303,117961,118327,118492,118451,125738,118453,118454
Yes,23965,52902,118595,118596,81476,120344,138524,118424,120346
Yes,38719,56680,118079,118080,117878,117879,117913,19721,117880
Yes,278393,5060,117961,117962,118791,122022,131419,119221,122024
Yes,20364,5122,117961,118300,118631,118422,153195,118424,118425
Yes,39333,79105,119920,119921,124211,118784,117906,290919,118786
No,45337,4565,117961,118386,121961,117905,290878,290919,117908
Yes,18418,3770,117961,118343,123144,118890,125128,118398,118892
Yes,28294,15886,117961,118052,120356,120357,310997,118424,120359
Yes,86316,5039,117961,118343,123125,119849,282370,118638,119851
Yes,36488,26321,117961,118327,118320,118784,240983,290919,118786
Yes,75447,4565,117961,118386,121961,118784,117906,290919,118786
Yes,15680,4341,117961,118343,118957,118321,117906,290919,118322
Yes,42805,9959,118742,118743,117920,117899,175972,19721,117900
Yes,28315,55195,126918,126919,118042,118043,118043,270488,118046
Yes,4675,54303,117961,118327,118492,118747,125738,118453,118749
Yes,18390,1475,91261,118026,118450,118641,123881,118643,118644
Yes,33054,126545,118163,119075,119076,120789,126546,118424,120791
Yes,28327,7510,117961,118446,118684,118784,124402,290919,118786
Yes,26944,50806,117961,118446,119064,118259,287351,290919,118261
Yes,45974,283684,118752,119070,120995,280788,280788,292795,119082
Yes,37575,15683,117961,118300,118957,118321,117906,290919,118322
Yes,79309,15383,117961,118343,127168,118396,300044,118398,118399
Yes,1041,1810,117961,118327,120559,118321,117906,290919,118322
Yes,93616,86299,117961,118327,120318,117905,117906,290919,117908
Yes,37709,46568,117989,117990,117884,117885,117913,117887,117888
Yes,3853,57714,118595,118596,118447,307024,311622,118331,118332
Yes,86196,3763,117961,118300,120059,120812,310589,118638,120814
Yes,78532,23225,117961,118300,119984,120647,311441,118398,120649
Yes,4675,1816,117961,118413,122007,120690,130887,290919,120692
Yes,15064,32457,117961,118327,118320,118054,118054,117887,118055
Yes,80717,3878,117961,118327,119830,122551,117906,118762,122552
Yes,25993,120114,118725,118726,119076,118422,124426,118424,118425
Yes,76876,2225,117961,117962,118501,126110,126111,118504,126112
Yes,20292,25039,117926,117927,117884,117885,117913,117887,117888
Yes,115809,209,117961,118343,6104,118784,147114,290919,118786
Yes,2642,197,117961,118413,118414,118784,240983,290919,118786
Yes,35152,25275,117961,118343,121747,117905,117906,290919,117908
Yes,108235,2062,117961,118327,119830,120773,118959,118960,120774
Yes,39398,16098,117961,118327,120171,120647,240979,118398,120649
Yes,33111,15415,117961,118225,123173,118054,119601,117887,118055
Yes,18381,44022,117961,117962,122215,119949,130085,290919,119951
Yes,37639,85779,118106,118107,117912,117885,117913,117887,117888
Yes,1098,1840,117961,118343,118514,118321,240983,290919,118322
Yes,44592,7081,117961,118225,119924,118685,120316,308574,118687
No,79092,25872,118169,118170,118575,117946,135255,292795,117948
Yes,18229,190,117961,118413,121639,118321,117906,290919,118322
Yes,17079,131053,117961,118327,118507,118054,124356,117887,118055
Yes,14854,5262,119596,119597,123719,118321,117906,290919,118322
Yes,16191,6220,117961,118327,121645,118777,279443,308574,118779
Yes,73756,52872,126918,126919,119136,118563,192155,270488,118565
Yes,37138,5027,117961,118343,119598,119433,133686,118424,119435
Yes,17278,59429,118595,118596,81476,120344,130834,118424,120346
No,35048,6273,117961,118343,118437,118777,279443,308574,118779
Yes,34628,16569,117961,118327,120559,120988,304465,118643,120989
Yes,42093,820,117961,118300,123719,118321,118406,290919,118322
Yes,94136,7578,117961,118343,120722,118321,117906,290919,118322
Yes,80853,2291,117961,118225,120663,118777,279443,308574,118779
Yes,1020,6252,117961,118300,120312,124419,157234,118424,124421
Yes,75078,41797,118315,118463,118522,118530,278014,118131,118532
Yes,15815,16835,131853,131854,120370,117905,117906,290919,117908
Yes,41569,71401,91261,118026,118063,128422,128423,118453,128424
Yes,16018,3722,117961,118300,120059,121469,128942,118424,121471
Yes,4680,19271,117961,118225,119924,118784,117906,290919,118786
Yes,36602,3116,117961,118300,147589,118912,309291,118424,118914
Yes,79092,2260,117961,118343,119598,120497,223125,118424,120499
Yes,13878,7016,117961,118300,119181,118321,117906,290919,118322
Yes,28149,1350,117961,118052,120096,117905,117906,290919,117908
Yes,75639,41759,118315,118463,119214,118784,127126,290919,118786
Yes,27082,7553,117961,118225,118403,118321,117906,290919,118322
Yes,20701,14731,117961,118446,118447,118321,222729,290919,118322
Yes,18072,57715,117961,118446,118701,118702,129679,118704,118705
No,32642,15557,119280,119281,117945,118129,132803,118131,118132
Yes,36975,4511,117961,118300,119181,118784,117906,290919,118786
Yes,42015,770,117961,118343,119181,118451,130134,118453,118454
Yes,4675,8251,117961,118327,118929,124810,131310,249618,124812
Yes,32032,3236,117961,118327,129972,117905,240983,290919,117908
Yes,16798,2296,117961,118413,277693,120952,130134,118453,120954
Yes,40955,133436,118212,118213,119136,120056,137119,118474,120058
Yes,42207,25766,118006,118007,118008,117899,117897,19721,117900
Yes,85557,97016,119062,119091,118957,117905,117906,290919,117908
Yes,112392,53338,117961,117962,122215,118777,127130,308574,118779
Yes,34039,21303,117961,118300,119890,120348,249620,118295,120350
Yes,35526,3936,117943,117944,117945,280788,177795,292795,119082
Yes,6720,7460,117961,118300,118783,118784,118785,290919,118786
Yes,4675,5511,117961,118386,119954,117905,117906,290919,117908
Yes,35793,1584,117961,118327,128935,118396,299403,118398,118399
Yes,4675,14815,117961,118327,118320,123045,123107,120518,123047
Yes,3853,5403,117961,118413,121639,118321,117906,290919,118322
Yes,31983,46646,119280,119281,117945,280788,130913,292795,119082
Yes,42481,124033,124034,124035,117945,280788,126042,292795,119082
Yes,25993,4909,117961,118300,118458,120006,143820,118424,120008
Yes,43650,17451,117961,118052,126137,126138,252926,124136,126140
Yes,43876,119058,118079,118080,117878,117879,118177,19721,117880
Yes,78607,7560,117961,118300,119181,118321,117906,290919,118322
Yes,74106,28890,117961,118327,125144,124775,209906,122032,124777
Yes,38704,12732,117910,117911,117912,117885,117913,117887,117888
Yes,45110,8697,117961,118446,119064,118784,117906,290919,118786
Yes,80918,3973,118887,118888,118631,120789,309694,118424,120791
Yes,25270,15902,117961,118052,120398,118054,121311,117887,118055
Yes,24896,17225,117961,118300,19772,138019,187788,120518,138021
Yes,43452,2174,118573,118574,118042,118043,170746,270488,118046
Yes,27082,19986,117961,118225,118403,118958,136187,118960,118961
Yes,34536,55941,117961,118327,122109,118054,118054,117887,118055
Yes,75834,8234,117961,118300,118783,118321,117906,290919,118322
Yes,7543,4642,117961,118225,120551,118321,133936,290919,118322
Yes,25993,25303,117961,118386,118522,118784,147114,290919,118786
No,41868,7284,91261,118026,118202,118321,117906,290919,118322
No,45856,26321,117961,118327,118320,124886,306399,118643,124888
Yes,23981,120822,119596,119597,120823,120647,311441,118398,120649
Yes,35952,89738,117961,117962,118409,119928,310608,118331,119929
Yes,44909,4659,117961,118225,120663,118784,147114,290919,118786
No,3803,2710,118290,118291,120823,118396,269406,118398,118399
Yes,95170,52007,117961,117962,118910,118054,118368,117887,118055
Yes,42085,3085,117961,118300,125821,119849,154949,118638,119851
Yes,40069,4449,117961,118300,118825,118054,118054,117887,118055
Yes,26926,70075,118023,118024,117895,117879,118250,19721,117880
Yes,77293,26312,138798,138799,120539,118321,117906,290919,118322
Yes,44731,30428,118541,118542,118562,118054,118054,117887,118055
Yes,22281,15623,118169,118170,119262,117946,139510,292795,117948
Yes,20293,46716,117929,117930,117941,117885,117913,117887,117888
Yes,75876,15586,119280,119281,117945,118995,136748,292795,118997
Yes,73112,27104,117961,118327,118507,118054,120716,117887,118055
Yes,81524,21280,117961,118386,119954,118685,279443,308574,118687
Yes,102696,33,117961,118413,119968,118784,117906,290919,118786
Yes,73547,4108,118887,118888,119136,120056,222050,118474,120058
Yes,94161,26320,117961,118327,118391,118321,117906,290919,118322
Yes,34832,5899,117961,118327,120318,118841,152788,118643,118843
Yes,76613,5244,117961,118343,119598,118321,240983,290919,118322
Yes,80838,3077,117961,118300,120312,124194,124195,118363,124196
Yes,76846,3187,117961,118343,119142,123045,147738,120518,123047
Yes,26391,21009,117961,118343,149210,120097,174445,270488,120099
Yes,74201,34608,117961,118327,118320,118784,118785,290919,118786
Yes,34718,16724,118212,118213,120551,117905,240983,290919,117908
Yes,40009,1903,117961,118343,118514,118685,122058,308574,118687
Yes,16116,64710,117961,118446,119408,118777,279443,308574,118779
Yes,41495,7539,117961,118343,119987,118321,117906,290919,118322
Yes,25882,46224,117961,118327,118378,120952,143223,118453,120954
No,1250,15389,117961,118225,122870,124886,128018,118643,124888
Yes,33642,7524,117961,118300,119195,118636,227378,118638,118639
Yes,30839,17218,117961,118300,118395,123067,269406,118398,123068
Yes,22318,4474,117961,118446,119064,118321,118448,290919,118322
Yes,80681,4200,117961,118343,118660,119433,133686,118424,119435
Yes,34950,4576,117961,118327,118391,123045,123107,120518,123047
No,18913,27518,117929,117930,119569,179731,186533,117887,117973
Yes,6725,6727,117961,117969,6725,125687,259130,6725,125689
Yes,4675,2631,117961,118327,120624,118784,123644,290919,118786
Yes,43714,7651,117961,118386,118692,117905,117906,290919,117908
Yes,34950,50952,117961,118327,118929,118259,120721,290919,118261
Yes,45904,278581,118169,118170,118042,118563,311839,270488,118565
Yes,79628,16802,117961,118225,120535,127589,311867,118478,127590
Yes,17308,4933,117961,118300,118458,120006,311622,118424,120008
Yes,836,1915,117961,118300,119181,119743,244154,3130,119745
Yes,25703,105908,117961,118225,129617,118636,149254,118638,118639
Yes,19730,8553,119062,119091,118514,117905,117906,290919,117908
Yes,42668,7525,117961,118225,120551,117905,240983,290919,117908
Yes,39264,46647,117961,119256,120943,118995,118806,292795,118997
Yes,39939,15886,117961,118052,120356,122067,237245,118424,122069
Yes,36480,72209,117961,118225,124948,118054,118054,117887,118055
Yes,75652,6217,117961,118327,119830,118784,117906,290919,118786
Yes,39332,71171,117961,118386,123844,118321,117906,290919,118322
Yes,21432,6199,117961,118225,120663,117905,117906,290919,117908
Yes,18418,4965,120864,121013,124133,124134,225335,124136,124137
Yes,77439,4263,121785,121786,119142,118321,117906,290919,118322
Yes,74236,33,117961,118413,118501,144353,144354,118504,144355
Yes,19666,56153,117961,117969,19666,179731,179731,117887,117973
Yes,3719,85019,117916,117917,117941,117879,117886,19721,117880
Yes,79552,4554,117961,118300,118514,118278,117906,290919,118279
Yes,27934,53130,117935,117936,117878,118568,173062,19721,118570
Yes,6977,1397,117961,118300,120722,118784,117906,290919,118786
Yes,75078,119350,117961,118386,118522,119351,123417,3130,119353
Yes,73543,5235,120864,121013,121961,125171,174005,118424,125173
Yes,18523,4219,117961,118300,120312,120313,157234,118424,120315
Yes,23096,127738,117961,118225,118403,118451,130134,118453,118454
Yes,43027,2014,117961,117962,117904,120773,122028,118960,120774
Yes,25119,5496,91261,118026,118202,117905,117906,290919,117908
Yes,6094,5369,117961,118413,122007,118321,118448,290919,118322
Yes,44900,2456,118752,118753,118754,280788,280788,292795,119082
Yes,80202,49961,117961,118225,118403,118321,117906,290919,118322
Yes,967,2683,122880,122974,119796,122129,296249,121916,122131
No,38725,56680,118079,118080,117878,117879,118177,19721,117880
Yes,44585,5909,117961,118446,16232,118784,121873,290919,118786
Yes,80756,7445,117961,118343,122299,118054,305057,117887,118055
Yes,34861,8168,117961,118386,119954,119962,168365,118205,119964
Yes,28472,215806,118315,118316,123656,118321,242891,290919,118322
Yes,312116,105908,117961,118225,129617,118636,149254,118638,118639
Yes,31823,8085,117961,118300,118535,118321,147045,290919,118322
Yes,25993,7076,117961,118225,120041,122849,120324,119095,122850
Yes,41461,17547,118181,118182,117920,117885,117886,117887,117888
Yes,40997,17319,117961,117962,118791,121469,310997,118424,121471
Yes,31760,4887,117961,118343,120126,120497,223125,118424,120499
Yes,79092,4713,117961,118052,120398,120357,238730,118424,120359
Yes,98047,30,117961,118413,120370,118784,117906,290919,118786
Yes,80042,130164,117961,118225,129617,122297,122297,118331,118899
Yes,4675,7001,117961,118327,118933,128230,127596,4673,128231
Yes,80755,7081,117961,118225,119924,118685,120316,308574,118687
Yes,17308,20380,117961,118225,124380,307024,310608,118331,118332
Yes,0,51138,117961,118413,119968,117905,117906,290919,117908
Yes,34576,4013,117961,118300,118514,118321,240983,290919,118322
