Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
38,4.9,Buffet ,motorcycle ,51
32,4.9,Buffet ,scooter ,16
30,4.4,Buffet ,motorcycle ,31
28,4.0,Snack ,motorcycle ,33
32,4.1,Snack ,motorcycle ,33
30,4.6,Snack ,scooter ,15
22,4.3,Meal ,electric_scooter ,31
22,2.6,Buffet ,scooter ,44
21,4.9,Buffet ,scooter ,21
39,4.5,Drinks ,motorcycle ,28
22,4.5,Meal ,scooter ,26
24,4.8,Snack ,scooter ,19
37,4.6,Meal ,scooter ,23
36,4.7,Snack ,electric_scooter ,21
38,4.3,Meal ,motorcycle ,42
27,5.0,Buffet ,motorcycle ,24
38,4.6,Meal ,scooter ,26
37,4.9,Drinks ,electric_scooter ,30
35,5.0,Meal ,motorcycle ,26
32,3.7,Buffet ,electric_scooter ,37
36,4.3,Drinks ,motorcycle ,32
37,4.0,Snack ,scooter ,34
22,4.3,Buffet ,scooter ,41
39,4.9,Meal ,electric_scooter ,22
34,4.7,Snack ,scooter ,11
38,4.7,Drinks ,motorcycle ,25
24,4.6,Snack ,scooter ,20
30,4.8,Meal ,scooter ,22
31,4.3,Drinks ,scooter ,41
39,4.7,Buffet ,scooter ,21
31,4.9,Drinks ,scooter ,16
23,4.9,Drinks ,motorcycle ,24
36,4.3,Buffet ,motorcycle ,35
36,4.6,Drinks ,motorcycle ,29
38,4.6,Snack ,scooter ,26
20,4.7,Buffet ,scooter ,29
20,5.0,Drinks ,motorcycle ,34
28,4.9,Drinks ,scooter ,19
33,3.5,Meal ,motorcycle ,42
29,4.8,Snack ,motorcycle ,19
35,3.3,Snack ,motorcycle ,34
33,4.6,Snack ,motorcycle ,30
39,4.2,Meal ,motorcycle ,38
20,4.9,Snack ,motorcycle ,24
37,3.8,Drinks ,electric_scooter ,36
32,4.4,Meal ,scooter ,36
35,4.4,Snack ,motorcycle ,38
36,4.7,Meal ,motorcycle ,24
20,4.6,Buffet ,electric_scooter ,18
35,4.7,Snack ,scooter ,27
36,4.8,Buffet ,electric_scooter ,44
30,4.3,Drinks ,motorcycle ,31
31,4.9,Buffet ,motorcycle ,40
50,6.0,Buffet ,scooter ,14
38,4.2,Meal ,scooter ,33
22,4.6,Buffet ,motorcycle ,24
32,4.6,Snack ,electric_scooter ,21
31,4.6,Drinks ,scooter ,27
25,4.2,Snack ,motorcycle ,43
25,3.5,Meal ,motorcycle ,48
20,4.5,Buffet ,motorcycle ,24
28,4.7,Drinks ,motorcycle ,17
27,4.9,Meal ,scooter ,17
29,4.9,Snack ,electric_scooter ,22
31,3.8,Snack ,motorcycle ,34
34,4.3,Snack ,motorcycle ,40
35,4.8,Meal ,motorcycle ,44
35,4.8,Meal ,electric_scooter ,16
21,4.4,Snack ,scooter ,34
30,4.2,Drinks ,motorcycle ,23
25,4.2,Drinks ,scooter ,39
30,4.1,Drinks ,scooter ,34
25,5.0,Buffet ,motorcycle ,17
31,4.7,Drinks ,scooter ,19
30,5.0,Drinks ,motorcycle ,19
28,4.9,Snack ,scooter ,19
27,4.7,Drinks ,motorcycle ,27
30,5.0,Buffet ,motorcycle ,37
38,4.7,Drinks ,electric_scooter ,26
36,4.8,Snack ,scooter ,21
36,4.7,Drinks ,motorcycle ,36
39,4.5,Drinks ,scooter ,16
28,4.1,Drinks ,motorcycle ,16
39,4.6,Snack ,motorcycle ,47
32,4.7,Buffet ,motorcycle ,23
23,5.0,Drinks ,electric_scooter ,21
27,4.8,Buffet ,motorcycle ,15
32,4.8,Drinks ,motorcycle ,19
30,4.0,Buffet ,motorcycle ,35
25,4.4,Drinks ,motorcycle ,38
24,5.0,Buffet ,motorcycle ,18
23,4.5,Snack ,motorcycle ,27
25,4.8,Buffet ,scooter ,19
24,4.6,Drinks ,scooter ,12
39,4.3,Buffet ,motorcycle ,43
33,5.0,Meal ,scooter ,27
22,4.0,Buffet ,scooter ,33
39,4.8,Buffet ,motorcycle ,16
32,5.0,Meal ,motorcycle ,40
28,4.8,Drinks ,scooter ,20
35,4.1,Drinks ,scooter ,39
35,4.6,Drinks ,motorcycle ,16
31,4.2,Drinks ,motorcycle ,38
27,4.1,Buffet ,motorcycle ,27
29,4.5,Buffet ,scooter ,15
29,4.9,Buffet ,motorcycle ,22
31,4.8,Buffet ,scooter ,21
36,5.0,Meal ,scooter ,23
30,3.5,Meal ,scooter ,37
28,4.8,Meal ,motorcycle ,19
29,5.0,Snack ,scooter ,15
21,4.8,Drinks ,electric_scooter ,24
24,4.5,Meal ,scooter ,18
29,4.2,Meal ,motorcycle ,28
21,4.5,Buffet ,scooter ,15
21,4.6,Drinks ,motorcycle ,21
34,5.0,Drinks ,scooter ,24
21,4.6,Drinks ,electric_scooter ,11
38,4.7,Snack ,motorcycle ,24
21,4.0,Meal ,scooter ,34
34,4.9,Snack ,electric_scooter ,29
30,4.0,Snack ,motorcycle ,32
30,4.5,Snack ,scooter ,25
27,4.0,Buffet ,motorcycle ,34
22,4.7,Buffet ,motorcycle ,15
20,4.6,Buffet ,scooter ,24
38,5.0,Snack ,scooter ,22
39,4.6,Buffet ,electric_scooter ,35
37,4.4,Buffet ,motorcycle ,33
32,4.2,Meal ,scooter ,39
37,5.0,Buffet ,motorcycle ,16
23,4.0,Buffet ,scooter ,32
34,4.1,Buffet ,motorcycle ,24
25,5.0,Buffet ,scooter ,34
20,4.8,Meal ,scooter ,25
38,5.0,Meal ,motorcycle ,27
28,4.6,Meal ,scooter ,13
28,4.8,Drinks ,electric_scooter ,16
29,4.8,Buffet ,scooter ,25
22,4.9,Buffet ,motorcycle ,19
35,4.8,Snack ,motorcycle ,44
38,4.0,Drinks ,motorcycle ,34
30,4.6,Snack ,electric_scooter ,28
31,4.0,Buffet ,motorcycle ,32
22,4.8,Snack ,electric_scooter ,18
37,4.1,Buffet ,scooter ,45
34,3.6,Meal ,scooter ,37
37,3.9,Drinks ,scooter ,33
23,4.8,Drinks ,motorcycle ,25
25,4.6,Buffet ,motorcycle ,27
32,4.2,Buffet ,scooter ,39
23,4.8,Drinks ,scooter ,23
36,4.5,Snack ,motorcycle ,27
35,4.8,Drinks ,electric_scooter ,18
26,4.2,Meal ,motorcycle ,25
29,4.5,Snack ,electric_scooter ,26
28,5.0,Buffet ,motorcycle ,21
38,4.1,Meal ,motorcycle ,31
25,4.5,Buffet ,electric_scooter ,24
22,4.9,Buffet ,scooter ,27
34,4.8,Meal ,scooter ,25
29,4.8,Drinks ,motorcycle ,18
38,4.7,Meal ,electric_scooter ,32
34,4.4,Meal ,scooter ,37
31,4.8,Snack ,motorcycle ,21
35,4.5,Drinks ,motorcycle ,20
28,4.6,Drinks ,electric_scooter ,30
39,4.8,Meal ,scooter ,29
37,4.7,Snack ,motorcycle ,27
36,4.0,Snack ,motorcycle ,33
23,4.7,Drinks ,scooter ,28
20,4.6,Meal ,motorcycle ,13
20,4.9,Drinks ,electric_scooter ,14
25,4.9,Snack ,scooter ,16
30,4.4,Meal ,electric_scooter ,42
37,4.8,Snack ,electric_scooter ,16
34,4.9,Buffet ,scooter ,45
25,5.0,Meal ,electric_scooter ,18
22,4.9,Meal ,motorcycle ,25
22,4.7,Snack ,motorcycle ,27
20,4.8,Buffet ,scooter ,16
20,4.8,Drinks ,motorcycle ,16
26,4.7,Drinks ,motorcycle ,13
24,4.5,Buffet ,scooter ,15
37,4.5,Meal ,motorcycle ,51
36,4.9,Drinks ,scooter ,31
30,4.0,Meal ,scooter ,38
39,4.7,Drinks ,motorcycle ,42
20,4.4,Buffet ,motorcycle ,24
31,4.8,Buffet ,electric_scooter ,15
26,4.5,Snack ,motorcycle ,24
33,4.7,Meal ,scooter ,21
29,4.5,Meal ,electric_scooter ,12
39,4.5,Meal ,scooter ,15
23,5.0,Snack ,scooter ,25
21,4.5,Meal ,scooter ,12
26,4.3,Drinks ,scooter ,33
34,4.3,Buffet ,motorcycle ,37
21,5.0,Buffet ,motorcycle ,25
20,4.0,Buffet ,motorcycle ,31
31,4.1,Meal ,motorcycle ,41
34,4.7,Drinks ,motorcycle ,51
24,5.0,Snack ,scooter ,22
39,4.4,Meal ,motorcycle ,42
23,4.4,Snack ,motorcycle ,24
30,4.8,Snack ,electric_scooter ,30
25,4.8,Meal ,scooter ,33
31,4.2,Meal ,scooter ,44
39,5.0,Snack ,scooter ,25
20,4.1,Snack ,motorcycle ,16
39,5.0,Meal ,electric_scooter ,16
23,4.7,Snack ,electric_scooter ,25
37,4.7,Drinks ,scooter ,24
21,4.5,Snack ,scooter ,17
31,4.7,Meal ,scooter ,15
33,4.6,Buffet ,electric_scooter ,19
32,3.8,Snack ,electric_scooter ,38
25,2.5,Meal ,scooter ,35
35,5.0,Drinks ,motorcycle ,37
25,4.7,Buffet ,scooter ,25
22,4.5,Meal ,motorcycle ,20
35,3.3,Buffet ,motorcycle ,33
37,4.0,Buffet ,scooter ,48
23,4.8,Snack ,motorcycle ,17
38,4.6,Drinks ,motorcycle ,54
37,4.7,Meal ,electric_scooter ,26
50,6.0,Buffet ,motorcycle ,28
37,5.0,Snack ,electric_scooter ,29
34,4.5,Buffet ,scooter ,30
33,3.9,Meal ,electric_scooter ,32
25,4.8,Meal ,motorcycle ,22
31,4.7,Buffet ,motorcycle ,27
32,4.9,Meal ,scooter ,23
32,4.8,Snack ,motorcycle ,43
39,4.1,Buffet ,scooter ,31
33,4.6,Meal ,electric_scooter ,15
32,4.0,Snack ,motorcycle ,34
23,4.9,Drinks ,electric_scooter ,28
29,4.5,Drinks ,scooter ,14
24,5.0,Drinks ,motorcycle ,14
21,4.6,Meal ,motorcycle ,22
30,4.8,Buffet ,motorcycle ,26
25,4.1,Drinks ,motorcycle ,28
39,4.8,Buffet ,scooter ,21
33,4.6,Meal ,scooter ,24
38,4.1,Buffet ,scooter ,42
23,4.7,Meal ,motorcycle ,29
21,4.0,Snack ,motorcycle ,32
38,3.6,Drinks ,scooter ,35
33,5.0,Meal ,motorcycle ,21
36,3.8,Drinks ,motorcycle ,36
35,3.5,Buffet ,scooter ,34
23,4.7,Drinks ,motorcycle ,22
34,4.0,Buffet ,motorcycle ,39
31,4.8,Meal ,scooter ,16
20,4.2,Snack ,scooter ,34
37,4.6,Meal ,motorcycle ,25
31,4.1,Drinks ,scooter ,40
22,4.5,Buffet ,scooter ,13
26,4.2,Drinks ,motorcycle ,18
34,4.9,Drinks ,electric_scooter ,17
21,4.6,Snack ,scooter ,21
24,4.1,Meal ,motorcycle ,21
39,4.7,Meal ,electric_scooter ,39
35,4.1,Meal ,electric_scooter ,31
26,4.5,Buffet ,scooter ,25
26,5.0,Buffet ,electric_scooter ,10
21,5.0,Drinks ,motorcycle ,16
32,4.0,Meal ,motorcycle ,39
33,4.5,Meal ,scooter ,25
36,4.4,Meal ,electric_scooter ,38
22,4.9,Snack ,scooter ,11
20,4.6,Snack ,scooter ,10
22,4.5,Drinks ,scooter ,14
23,4.9,Meal ,scooter ,24
34,4.7,Meal ,scooter ,29
22,4.1,Snack ,motorcycle ,22
39,4.9,Drinks ,electric_scooter ,29
26,4.7,Meal ,motorcycle ,43
29,5.0,Buffet ,motorcycle ,16
33,4.8,Drinks ,scooter ,19
20,4.1,Snack ,scooter ,39
26,4.6,Meal ,electric_scooter ,29
38,5.0,Meal ,scooter ,34
23,4.5,Meal ,scooter ,23
32,4.9,Meal ,motorcycle ,16
29,4.7,Buffet ,scooter ,15
29,4.6,Buffet ,electric_scooter ,18
39,4.1,Drinks ,motorcycle ,37
24,4.9,Meal ,electric_scooter ,22
29,4.4,Snack ,scooter ,31
21,4.7,Buffet ,electric_scooter ,16
30,4.5,Drinks ,motorcycle ,15
33,4.9,Snack ,scooter ,47
24,4.5,Buffet ,electric_scooter ,10
34,3.5,Drinks ,scooter ,34
34,4.7,Meal ,electric_scooter ,29
25,5.0,Snack ,scooter ,12
38,4.5,Snack ,scooter ,22
29,4.5,Meal ,motorcycle ,21
30,4.1,Buffet ,scooter ,47
26,4.6,Meal ,scooter ,27
28,4.8,Meal ,scooter ,13
20,5.0,Buffet ,motorcycle ,11
33,4.7,Drinks ,scooter ,13
32,4.8,Buffet ,motorcycle ,16
34,4.2,Meal ,scooter ,37
26,4.4,Buffet ,motorcycle ,23
30,4.2,Snack ,scooter ,31
27,4.7,Snack ,scooter ,13
26,5.0,Buffet ,motorcycle ,19
34,4.8,Buffet ,scooter ,15
39,4.8,Snack ,scooter ,27
35,3.8,Meal ,motorcycle ,35
21,5.0,Buffet ,scooter ,12
38,5.0,Drinks ,scooter ,25
38,4.0,Buffet ,motorcycle ,42
22,4.2,Snack ,motorcycle ,22
30,4.3,Meal ,scooter ,40
35,4.4,Drinks ,motorcycle ,34
35,4.5,Snack ,scooter ,21
24,4.6,Meal ,scooter ,16
25,4.9,Drinks ,electric_scooter ,15
30,4.3,Meal ,motorcycle ,35
29,4.7,Snack ,motorcycle ,37
24,4.2,Drinks ,motorcycle ,24
28,5.0,Drinks ,electric_scooter ,19
29,4.1,Meal ,scooter ,35
26,4.9,Buffet ,electric_scooter ,33
38,4.8,Drinks ,motorcycle ,35
34,4.5,Drinks ,electric_scooter ,28
25,4.7,Buffet ,motorcycle ,25
30,4.6,Drinks ,scooter ,30
22,4.3,Snack ,motorcycle ,25
23,4.8,Buffet ,electric_scooter ,25
32,4.6,Meal ,scooter ,25
34,4.2,Buffet ,motorcycle ,31
20,4.7,Drinks ,motorcycle ,22
36,4.9,Meal ,scooter ,21
30,4.4,Drinks ,motorcycle ,33
27,4.4,Drinks ,scooter ,36
29,4.4,Meal ,motorcycle ,32
25,4.9,Snack ,motorcycle ,17
36,3.5,Meal ,scooter ,38
30,4.8,Drinks ,motorcycle ,20
33,4.8,Snack ,scooter ,26
28,5.0,Drinks ,scooter ,15
28,4.7,Meal ,motorcycle ,29
31,4.1,Drinks ,electric_scooter ,36
24,4.6,Buffet ,motorcycle ,33
22,4.8,Buffet ,motorcycle ,13
39,4.0,Snack ,motorcycle ,41
32,4.9,Buffet ,motorcycle ,26
26,4.6,Snack ,scooter ,43
31,3.6,Snack ,motorcycle ,34
37,4.7,Drinks ,electric_scooter ,17
32,4.3,Drinks ,motorcycle ,41
27,4.4,Meal ,motorcycle ,54
35,3.8,Snack ,motorcycle ,32
34,4.2,Snack ,motorcycle ,36
21,4.4,Meal ,motorcycle ,36
31,4.4,Drinks ,motorcycle ,27
31,4.7,Buffet ,scooter ,17
35,4.9,Snack ,motorcycle ,31
28,4.6,Buffet ,electric_scooter ,13
32,4.8,Buffet ,electric_scooter ,26
35,4.5,Snack ,electric_scooter ,22
27,4.7,Buffet ,motorcycle ,21
36,4.5,Meal ,motorcycle ,28
29,4.7,Drinks ,scooter ,26
26,4.9,Buffet ,scooter ,38
31,3.9,Buffet ,scooter ,43
27,4.9,Drinks ,electric_scooter ,15
30,4.6,Meal ,motorcycle ,39
24,4.7,Meal ,scooter ,42
20,4.7,Snack ,motorcycle ,21
30,4.9,Buffet ,scooter ,26
29,4.4,Buffet ,scooter ,36
37,4.9,Meal ,motorcycle ,39
35,4.1,Meal ,motorcycle ,34
15,1.0,Snack ,scooter ,27
37,4.4,Drinks ,motorcycle ,31
28,5.0,Buffet ,scooter ,21
39,3.7,Drinks ,scooter ,32
31,4.2,Buffet ,motorcycle ,32
39,4.5,Meal ,electric_scooter ,34
31,3.9,Meal ,scooter ,39
23,4.6,Drinks ,electric_scooter ,18
35,4.6,Drinks ,scooter ,29
26,4.0,Snack ,motorcycle ,32
30,5.0,Meal ,motorcycle ,28
37,4.8,Meal ,scooter ,26
28,4.8,Meal ,electric_scooter ,14
36,4.8,Buffet ,scooter ,25
30,4.8,Meal ,electric_scooter ,19
25,4.3,Drinks ,motorcycle ,33
31,4.1,Snack ,motorcycle ,32
38,4.8,Meal ,electric_scooter ,18
21,4.5,Drinks ,motorcycle ,21
34,4.5,Snack ,scooter ,15
23,4.9,Drinks ,scooter ,15
37,4.7,Buffet ,motorcycle ,24
35,3.5,Drinks ,motorcycle ,31
27,5.0,Snack ,motorcycle ,18
29,4.8,Meal ,motorcycle ,16
34,5.0,Snack ,scooter ,42
39,4.4,Drinks ,scooter ,34
29,4.9,Buffet ,scooter ,30
37,4.4,Snack ,electric_scooter ,36
30,4.8,Snack ,motorcycle ,33
37,4.3,Drinks ,electric_scooter ,39
20,4.5,Buffet ,scooter ,25
21,5.0,Snack ,motorcycle ,11
27,4.8,Meal ,motorcycle ,26
38,4.3,Drinks ,motorcycle ,36
29,4.9,Drinks ,scooter ,14
31,5.0,Meal ,motorcycle ,28
32,4.3,Buffet ,motorcycle ,30
23,5.0,Drinks ,scooter ,30
20,5.0,Snack ,scooter ,27
21,4.4,Buffet ,motorcycle ,34
32,4.3,Snack ,motorcycle ,54
32,4.8,Meal ,electric_scooter ,23
37,4.9,Meal ,scooter ,24
36,4.9,Buffet ,electric_scooter ,28
29,5.0,Drinks ,scooter ,21
25,4.9,Drinks ,scooter ,29
31,4.4,Buffet ,motorcycle ,41
38,4.1,Snack ,motorcycle ,32
39,4.9,Drinks ,motorcycle ,24
36,4.7,Buffet ,scooter ,15
22,4.7,Drinks ,electric_scooter ,12
33,4.2,Buffet ,motorcycle ,24
25,4.6,Drinks ,scooter ,22
27,5.0,Drinks ,scooter ,18
37,4.9,Snack ,motorcycle ,49
35,4.7,Drinks ,electric_scooter ,19
20,4.5,Snack ,motorcycle ,18
25,4.5,Drinks ,electric_scooter ,22
34,4.7,Buffet ,scooter ,27
39,5.0,Snack ,electric_scooter ,11
37,4.4,Snack ,motorcycle ,32
37,4.6,Buffet ,electric_scooter ,28
27,4.3,Snack ,motorcycle ,28
22,4.5,Snack ,scooter ,14
33,4.7,Meal ,electric_scooter ,26
26,4.8,Buffet ,electric_scooter ,26
34,4.9,Buffet ,electric_scooter ,44
23,4.7,Buffet ,motorcycle ,32
26,4.6,Drinks ,scooter ,13
24,4.6,Snack ,electric_scooter ,24
34,4.7,Snack ,electric_scooter ,26
38,3.8,Meal ,motorcycle ,37
26,4.1,Drinks ,motorcycle ,18
21,5.0,Meal ,motorcycle ,25
30,5.0,Snack ,scooter ,38
27,4.9,Drinks ,motorcycle ,23
31,5.0,Buffet ,electric_scooter ,18
20,4.8,Drinks ,electric_scooter ,25
35,4.2,Drinks ,motorcycle ,31
24,4.6,Buffet ,electric_scooter ,21
35,4.0,Buffet ,scooter ,33
35,4.9,Meal ,scooter ,18
32,4.6,Meal ,electric_scooter ,31
36,4.9,Drinks ,motorcycle ,36
22,4.7,Drinks ,motorcycle ,16
28,4.5,Buffet ,scooter ,16
39,4.0,Drinks ,scooter ,39
36,4.5,Meal ,scooter ,18
39,4.2,Snack ,electric_scooter ,32
33,5.0,Snack ,electric_scooter ,30
22,4.7,Buffet ,scooter ,14
27,4.1,Snack ,motorcycle ,34
21,4.9,Drinks ,scooter ,21
36,4.3,Drinks ,scooter ,35
37,4.5,Meal ,scooter ,17
24,4.1,Snack ,motorcycle ,18
23,5.0,Buffet ,electric_scooter ,25
21,4.2,Meal ,scooter ,43
38,4.3,Meal ,scooter ,37
36,4.1,Drinks ,electric_scooter ,43
32,4.7,Drinks ,motorcycle ,36
24,4.5,Drinks ,motorcycle ,27
22,4.7,Meal ,scooter ,28
27,4.6,Snack ,scooter ,27
34,4.0,Drinks ,motorcycle ,44
32,4.2,Meal ,motorcycle ,32
20,4.7,Snack ,scooter ,11
35,5.0,Meal ,electric_scooter ,32
36,4.4,Buffet ,scooter ,32
24,4.9,Snack ,scooter ,22
31,4.3,Buffet ,motorcycle ,39
29,4.9,Meal ,motorcycle ,45
20,4.6,Snack ,electric_scooter ,10
24,4.9,Buffet ,electric_scooter ,38
21,4.9,Buffet ,motorcycle ,18
20,5.0,Meal ,scooter ,26
30,4.7,Meal ,motorcycle ,27
27,4.5,Drinks ,scooter ,10
38,3.9,Buffet ,scooter ,41
37,4.5,Drinks ,motorcycle ,29
23,5.0,Buffet ,scooter ,30
32,4.2,Snack ,motorcycle ,36
36,4.0,Meal ,motorcycle ,46
35,3.2,Buffet ,motorcycle ,32
23,4.4,Drinks ,motorcycle ,36
37,4.2,Snack ,motorcycle ,31
38,4.7,Meal ,scooter ,39
36,4.2,Meal ,scooter ,34
28,4.0,Meal ,motorcycle ,38
32,4.6,Buffet ,electric_scooter ,40
38,4.8,Buffet ,electric_scooter ,32
37,4.8,Drinks ,electric_scooter ,26
38,5.0,Buffet ,scooter ,23
38,4.8,Drinks ,scooter ,29
50,6.0,Buffet ,electric_scooter ,11
35,5.0,Snack ,scooter ,20
32,4.4,Meal ,motorcycle ,28
23,4.9,Meal ,electric_scooter ,15
34,4.3,Meal ,scooter ,44
34,4.4,Buffet ,motorcycle ,42
30,4.1,Snack ,motorcycle ,20
27,4.5,Snack ,scooter ,16
29,4.5,Meal ,scooter ,14
37,4.7,Snack ,electric_scooter ,38
34,4.2,Meal ,motorcycle ,32
36,4.9,Buffet ,motorcycle ,24
32,4.9,Meal ,electric_scooter ,42
24,4.7,Buffet ,electric_scooter ,28
33,4.8,Buffet ,scooter ,35
35,5.0,Buffet ,scooter ,32
32,3.9,Drinks ,scooter ,38
37,4.2,Drinks ,scooter ,41
27,4.2,Buffet ,scooter ,35
34,5.0,Drinks ,electric_scooter ,16
36,4.6,Buffet ,electric_scooter ,31
36,4.4,Meal ,motorcycle ,41
31,4.9,Drinks ,electric_scooter ,17
28,4.6,Snack ,electric_scooter ,28
36,4.9,Meal ,electric_scooter ,23
27,4.6,Drinks ,motorcycle ,30
27,4.5,Drinks ,motorcycle ,14
37,5.0,Drinks ,scooter ,18
33,4.8,Buffet ,electric_scooter ,21
34,4.3,Drinks ,scooter ,32
25,4.2,Meal ,motorcycle ,51
28,4.4,Drinks ,motorcycle ,16
21,4.5,Drinks ,scooter ,17
39,4.7,Buffet ,motorcycle ,20
22,4.6,Drinks ,motorcycle ,24
35,4.2,Buffet ,scooter ,33
25,4.7,Buffet ,electric_scooter ,23
37,3.7,Drinks ,scooter ,32
31,4.9,Meal ,motorcycle ,16
20,5.0,Buffet ,scooter ,18
34,4.4,Buffet ,scooter ,38
34,4.8,Buffet ,electric_scooter ,22
20,4.6,Meal ,electric_scooter ,15
22,3.9,Drinks ,motorcycle ,53
33,4.0,Meal ,electric_scooter ,43
30,4.7,Snack ,motorcycle ,37
25,4.2,Buffet ,scooter ,34
30,4.4,Meal ,motorcycle ,41
30,4.7,Snack ,scooter ,30
33,4.0,Drinks ,motorcycle ,33
38,5.0,Meal ,electric_scooter ,43
29,4.8,Meal ,scooter ,24
38,3.5,Snack ,scooter ,31
36,4.7,Drinks ,scooter ,22
24,4.3,Meal ,motorcycle ,15
36,4.1,Drinks ,motorcycle ,25
30,4.5,Meal ,scooter ,17
34,3.6,Snack ,scooter ,38
21,4.7,Snack ,scooter ,31
25,4.7,Drinks ,scooter ,18
38,4.5,Snack ,motorcycle ,45
26,4.5,Drinks ,scooter ,10
38,4.5,Buffet ,electric_scooter ,28
26,5.0,Drinks ,motorcycle ,19
35,3.9,Meal ,scooter ,32
33,5.0,Meal ,electric_scooter ,26
36,5.0,Drinks ,scooter ,38
33,4.9,Drinks ,scooter ,49
38,4.4,Snack ,motorcycle ,25
25,4.5,Drinks ,scooter ,17
32,3.5,Snack ,motorcycle ,35
35,3.9,Snack ,motorcycle ,31
32,4.4,Buffet ,motorcycle ,39
34,4.6,Meal ,scooter ,27
35,4.7,Meal ,motorcycle ,24
20,4.9,Snack ,scooter ,11
36,4.6,Meal ,scooter ,24
29,4.8,Buffet ,electric_scooter ,17
33,4.7,Buffet ,electric_scooter ,16
38,4.2,Buffet ,motorcycle ,42
31,3.9,Snack ,motorcycle ,38
36,4.2,Meal ,motorcycle ,37
29,4.0,Meal ,motorcycle ,42
30,4.7,Buffet ,electric_scooter ,12
22,4.6,Buffet ,scooter ,18
25,4.9,Buffet ,motorcycle ,16
32,4.5,Snack ,scooter ,18
31,4.8,Snack ,scooter ,26
37,5.0,Drinks ,motorcycle ,32
35,4.7,Snack ,electric_scooter ,40
23,4.6,Meal ,electric_scooter ,26
23,4.5,Snack ,electric_scooter ,25
34,4.0,Snack ,motorcycle ,22
38,4.4,Meal ,motorcycle ,45
30,4.8,Drinks ,electric_scooter ,28
36,4.0,Buffet ,motorcycle ,39
25,4.3,Buffet ,scooter ,36
34,4.0,Meal ,motorcycle ,27
38,5.0,Buffet ,electric_scooter ,16
37,4.4,Buffet ,scooter ,36
31,4.5,Buffet ,motorcycle ,25
23,4.5,Drinks ,motorcycle ,28
35,4.1,Snack ,motorcycle ,29
38,4.7,Snack ,electric_scooter ,29
25,4.4,Snack ,motorcycle ,37
27,4.5,Meal ,scooter ,16
25,4.0,Drinks ,motorcycle ,38
37,4.2,Drinks ,motorcycle ,45
24,4.0,Snack ,motorcycle ,31
24,5.0,Meal ,scooter ,16
24,4.2,Snack ,motorcycle ,31
20,4.5,Drinks ,motorcycle ,19
30,4.7,Buffet ,motorcycle ,25
22,5.0,Drinks ,motorcycle ,19
27,4.5,Snack ,motorcycle ,29
32,5.0,Snack ,scooter ,25
35,3.8,Snack ,scooter ,33
22,4.9,Drinks ,scooter ,26
23,4.4,Meal ,motorcycle ,35
37,4.5,Buffet ,motorcycle ,28
20,4.6,Drinks ,electric_scooter ,19
36,4.6,Snack ,motorcycle ,18
22,4.8,Drinks ,scooter ,23
24,4.7,Buffet ,scooter ,29
38,4.6,Drinks ,electric_scooter ,25
31,4.5,Drinks ,electric_scooter ,26
39,4.4,Buffet ,electric_scooter ,31
23,4.5,Buffet ,scooter ,17
35,3.5,Meal ,scooter ,34
24,4.9,Snack ,electric_scooter ,19
34,4.7,Buffet ,electric_scooter ,27
35,4.6,Drinks ,electric_scooter ,28
37,4.6,Buffet ,motorcycle ,40
38,4.3,Snack ,motorcycle ,40
34,3.6,Drinks ,motorcycle ,33
32,4.5,Snack ,motorcycle ,24
31,4.8,Drinks ,scooter ,16
25,4.2,Buffet ,motorcycle ,15
34,4.4,Drinks ,scooter ,34
35,4.6,Snack ,electric_scooter ,29
33,4.3,Meal ,motorcycle ,40
26,4.7,Drinks ,scooter ,15
38,3.9,Buffet ,motorcycle ,41
24,4.9,Buffet ,scooter ,28
32,4.0,Drinks ,motorcycle ,51
27,4.7,Meal ,scooter ,12
22,5.0,Buffet ,electric_scooter ,29
21,3.5,Snack ,motorcycle ,33
33,4.4,Snack ,scooter ,48
20,4.5,Snack ,scooter ,14
35,4.2,Buffet ,motorcycle ,43
22,4.7,Buffet ,electric_scooter ,22
32,4.4,Drinks ,motorcycle ,33
29,5.0,Buffet ,electric_scooter ,17
33,4.0,Buffet ,scooter ,35
29,4.8,Snack ,electric_scooter ,22
33,4.2,Snack ,motorcycle ,31
30,4.4,Buffet ,scooter ,32
35,4.4,Meal ,scooter ,34
32,4.6,Buffet ,scooter ,29
35,4.9,Buffet ,motorcycle ,42
39,4.4,Buffet ,motorcycle ,37
20,3.1,Snack ,motorcycle ,41
24,4.1,Meal ,scooter ,31
34,4.5,Meal ,scooter ,16
38,4.4,Buffet ,motorcycle ,44
23,5.0,Meal ,scooter ,24
36,4.2,Buffet ,motorcycle ,34
22,4.5,Snack ,motorcycle ,40
25,3.5,Drinks ,scooter ,40
28,4.5,Drinks ,scooter ,29
27,4.4,Snack ,motorcycle ,49
33,4.4,Meal ,motorcycle ,30
31,4.6,Snack ,scooter ,27
37,4.3,Meal ,scooter ,34
39,4.2,Drinks ,electric_scooter ,31
30,4.5,Snack ,motorcycle ,47
36,4.6,Drinks ,scooter ,25
31,4.5,Meal ,scooter ,19
29,5.0,Meal ,motorcycle ,16
35,4.4,Buffet ,motorcycle ,21
26,4.5,Meal ,electric_scooter ,14
27,4.8,Meal ,scooter ,16
33,4.1,Meal ,electric_scooter ,39
