frequency,attack-angle,chord-length,free-stream-velocity,scaled-sound-pressure
400,15.4,0.0508,31.7,123.705
1600,0.0,0.1016,39.6,133.261
200,12.6,0.1524,39.6,114.75
4000,9.5,0.0254,55.5,131.582
315,15.4,0.0508,55.5,125.39
800,8.4,0.0508,71.3,127.556
200,22.2,0.0254,39.6,116.066
200,7.3,0.2286,71.3,138.758
8000,5.3,0.2286,71.3,114.9
4000,0.0,0.0508,31.7,134.11
6300,15.4,0.0508,31.7,108.185
250,9.9,0.1524,39.6,128.335
4000,0.0,0.3048,55.5,121.106
1000,9.9,0.1524,71.3,126.349
250,15.4,0.0508,31.7,121.225
10000,0.0,0.0508,39.6,125.998
1600,8.4,0.0508,39.6,130.965
8000,4.8,0.0254,39.6,131.346
500,5.4,0.1524,39.6,129.937
1250,1.5,0.3048,71.3,125.872
4000,0.0,0.1524,31.7,123.807
8000,4.0,0.2286,55.5,112.524
250,22.2,0.0254,39.6,117.386
1250,5.3,0.2286,71.3,133.38
10000,0.0,0.1524,39.6,115.413
1000,3.0,0.3048,39.6,128.312
800,15.4,0.0508,31.7,125.555
1000,22.2,0.0254,71.3,134.247
315,12.3,0.1016,39.6,129.415
1000,2.0,0.2286,31.7,130.307
800,4.0,0.2286,39.6,130.469
2000,3.0,0.3048,39.6,120.532
200,7.3,0.2286,39.6,130.989
6300,2.0,0.2286,55.5,118.712
400,15.6,0.1016,39.6,120.484
8000,2.7,0.1524,71.3,120.534
12500,0.0,0.0254,71.3,133.207
4000,2.7,0.1524,39.6,121.889
5000,15.4,0.0508,39.6,114.453
6300,3.3,0.1016,39.6,120.851
8000,0.0,0.1524,55.5,121.903
500,9.5,0.0254,31.7,126.886
4000,19.7,0.0508,71.3,113.045
630,12.3,0.1016,71.3,135.368
5000,4.0,0.2286,55.5,120.034
1600,0.0,0.0508,39.6,130.908
2500,5.4,0.1524,39.6,120.497
6300,0.0,0.2286,39.6,117.465
1000,0.0,0.2286,55.5,128.29
2000,6.7,0.1016,71.3,134.568
3150,7.2,0.1524,39.6,111.818
2500,12.3,0.1016,39.6,113.315
800,15.6,0.1016,71.3,124.188
2000,8.9,0.1016,39.6,119.04
400,5.4,0.1524,31.7,127.781
2500,3.3,0.1016,39.6,130.791
5000,0.0,0.1016,39.6,126.021
400,9.5,0.0254,31.7,124.756
8000,4.0,0.2286,39.6,113.129
6300,7.3,0.2286,39.6,110.839
8000,2.0,0.2286,71.3,115.996
200,9.9,0.1524,71.3,134.319
4000,3.0,0.3048,31.7,115.608
250,12.7,0.0254,71.3,119.698
1600,0.0,0.0508,31.7,131.01
6300,3.0,0.3048,55.5,115.679
250,15.4,0.0508,39.6,122.893
8000,12.7,0.0254,39.6,120.607
1000,0.0,0.1524,39.6,130.033
500,9.5,0.0254,39.6,123.894
1600,4.8,0.0254,31.7,128.718
8000,1.5,0.3048,39.6,112.251
1600,4.0,0.3048,39.6,123.213
630,15.4,0.0508,55.5,129.33
315,0.0,0.3048,31.7,122.765
800,0.0,0.3048,71.3,126.201
1250,0.0,0.1524,71.3,128.927
1600,3.3,0.1016,39.6,133.071
6300,9.5,0.0254,31.7,120.726
500,3.0,0.3048,31.7,127.548
200,0.0,0.3048,39.6,118.129
4000,12.3,0.1016,55.5,114.404
500,12.6,0.1524,39.6,114.9
800,5.4,0.1524,39.6,132.757
400,12.3,0.1016,39.6,128.265
3150,0.0,0.3048,55.5,123.236
4000,5.4,0.1524,71.3,121.431
2500,1.5,0.3048,71.3,124.512
400,2.0,0.2286,39.6,122.147
2500,8.4,0.0508,39.6,127.465
2500,0.0,0.1524,55.5,127.763
2500,2.7,0.1524,71.3,128.334
5000,12.3,0.1016,71.3,116.108
630,3.3,0.1016,55.5,126.599
2000,12.3,0.1016,31.7,110.447
5000,9.5,0.0254,39.6,125.044
630,19.7,0.0508,71.3,128.365
500,15.6,0.1016,71.3,130.638
3150,0.0,0.1524,71.3,129.377
6300,12.6,0.1524,39.6,103.38
630,19.7,0.0508,39.6,120.324
12500,4.8,0.0254,55.5,125.094
630,5.4,0.1524,31.7,131.471
6300,0.0,0.1524,55.5,123.303
1000,12.6,0.1524,39.6,114.67
6300,0.0,0.1016,55.5,127.73
1600,17.4,0.0254,55.5,126.471
1000,11.2,0.0508,39.6,132.43
4000,9.5,0.0254,39.6,127.864
8000,0.0,0.3048,31.7,110.515
2000,2.7,0.1524,39.6,128.139
1250,8.4,0.0508,71.3,132.086
1600,12.7,0.0254,39.6,129.977
250,12.7,0.0254,39.6,121.547
5000,15.4,0.0508,31.7,112.355
5000,0.0,0.2286,31.7,120.505
10000,4.2,0.0508,39.6,116.967
3150,0.0,0.1016,55.5,131.78
1250,5.4,0.1524,31.7,123.991
4000,12.3,0.1016,71.3,118.018
2000,8.4,0.0508,55.5,133.042
5000,3.3,0.1016,39.6,122.371
4000,3.3,0.1016,39.6,124.881
16000,0.0,0.1524,71.3,113.297
800,17.4,0.0254,31.7,139.226
2000,3.3,0.1016,39.6,132.301
1250,5.4,0.1524,71.3,134.111
4000,12.7,0.0254,39.6,126.537
800,0.0,0.0508,39.6,126.508
3150,0.0,0.0508,71.3,135.07
4000,12.3,0.1016,39.6,110.905
500,0.0,0.3048,31.7,127.315
20000,0.0,0.2286,71.3,114.474
1250,17.4,0.0254,55.5,129.301
1250,0.0,0.1016,71.3,130.335
2000,12.6,0.1524,71.3,117.504
1250,2.0,0.2286,71.3,128.816
2500,0.0,0.3048,39.6,121.399
5000,0.0,0.0254,55.5,135.803
1000,12.6,0.1524,71.3,122.044
2000,22.2,0.0254,39.6,121.256
20000,4.0,0.2286,71.3,109.638
2500,12.7,0.0254,39.6,129.027
630,0.0,0.1016,31.7,126.413
2000,3.3,0.1016,31.7,131.642
2500,15.4,0.0508,71.3,127.625
400,4.0,0.2286,31.7,126.149
3150,3.0,0.3048,55.5,120.189
500,7.3,0.2286,71.3,136.798
6300,5.3,0.2286,71.3,116.92
400,9.9,0.1524,31.7,128.939
250,7.3,0.2286,55.5,136.384
5000,7.3,0.2286,55.5,113.144
10000,1.5,0.3048,71.3,113.492
400,5.4,0.1524,71.3,124.121
2000,2.0,0.2286,55.5,124.612
10000,0.0,0.3048,71.3,115.391
800,0.0,0.1524,55.5,126.713
2000,9.9,0.1524,55.5,119.505
2500,5.4,0.1524,31.7,119.151
500,12.3,0.1016,55.5,133.774
6300,3.0,0.3048,31.7,109.718
800,2.7,0.1524,71.3,127.394
1250,7.3,0.2286,55.5,125.724
200,12.6,0.1524,71.3,128.354
1000,9.9,0.1524,39.6,123.835
1600,4.0,0.2286,71.3,129.468
3150,9.5,0.0254,31.7,128.536
10000,0.0,0.3048,39.6,112.139
2500,7.3,0.2286,71.3,122.088
6300,4.0,0.3048,71.3,116.165
2000,5.4,0.1524,71.3,131.111
4000,9.9,0.1524,55.5,112.945
630,0.0,0.2286,39.6,128.705
3150,4.8,0.0254,39.6,133.436
250,0.0,0.3048,39.6,119.319
800,0.0,0.1016,31.7,129.053
400,0.0,0.2286,55.5,121.66
6300,0.0,0.3048,31.7,113.775
8000,0.0,0.0254,39.6,135.866
800,8.4,0.0508,55.5,128.562
630,3.0,0.3048,31.7,128.698
3150,8.4,0.0508,39.6,123.965
10000,4.0,0.3048,71.3,110.905
4000,7.2,0.1524,39.6,114.258
2500,17.4,0.0254,71.3,126.746
800,12.6,0.1524,39.6,116.56
2000,15.4,0.0508,39.6,123.443
5000,22.2,0.0254,71.3,125.727
1000,3.0,0.3048,55.5,129.329
630,9.5,0.0254,31.7,129.006
1250,7.3,0.2286,71.3,127.358
630,1.5,0.3048,39.6,128.311
10000,0.0,0.0254,71.3,130.787
500,17.4,0.0254,39.6,117.514
1250,17.4,0.0254,71.3,126.356
1000,12.3,0.1016,31.7,119.777
315,2.0,0.2286,31.7,120.147
500,8.4,0.0508,39.6,122.905
400,0.0,0.3048,31.7,125.045
2500,15.6,0.1016,71.3,118.998
1250,3.0,0.3048,39.6,125.802
6300,2.0,0.2286,71.3,120.786
1000,0.0,0.1524,71.3,127.307
400,4.0,0.2286,39.6,123.879
5000,9.9,0.1524,55.5,112.065
800,2.7,0.1524,39.6,128.829
315,8.9,0.1016,39.6,135.38
800,0.0,0.2286,39.6,130.205
1250,0.0,0.0508,39.6,129.148
1000,9.9,0.1524,55.5,124.665
1600,4.0,0.2286,55.5,128.264
1600,9.9,0.1524,55.5,119.875
1600,7.2,0.1524,39.6,120.058
1600,0.0,0.3048,39.6,124.049
2500,2.0,0.2286,31.7,121.407
8000,17.4,0.0254,71.3,115.466
4000,2.7,0.1524,71.3,126.534
5000,3.0,0.3048,55.5,117.309
2500,4.0,0.3048,71.3,123.775
250,12.6,0.1524,39.6,115.89
250,12.3,0.1016,55.5,133.294
800,7.3,0.2286,31.7,123.209
500,1.5,0.3048,39.6,126.661
1250,15.4,0.0508,31.7,123.255
4000,12.6,0.1524,39.6,104.5
1000,0.0,0.2286,39.6,130.435
6300,7.2,0.1524,71.3,116.603
500,2.0,0.2286,55.5,124.692
315,7.2,0.1524,71.3,128.713
200,12.3,0.1016,71.3,130.588
500,4.0,0.2286,39.6,127.039
8000,0.0,0.1524,31.7,117.957
2500,9.9,0.1524,55.5,118.365
630,6.7,0.1016,31.7,132.116
1000,6.7,0.1016,55.5,137.233
1250,17.4,0.0254,31.7,128.306
3150,8.9,0.1016,39.6,119.35
2000,3.3,0.1016,71.3,134.034
315,9.9,0.1524,55.5,132.355
500,3.0,0.3048,55.5,128.179
250,8.9,0.1016,71.3,134.533
1600,12.3,0.1016,39.6,117.875
5000,12.3,0.1016,39.6,108.625
800,19.7,0.0508,71.3,124.555
1600,4.0,0.2286,31.7,125.229
6300,0.0,0.0254,55.5,136.103
5000,4.2,0.0508,39.6,129.777
500,8.9,0.1016,39.6,133.79
800,6.7,0.1016,39.6,134.625
5000,4.8,0.0254,31.7,135.248
4000,3.0,0.3048,71.3,120.264
500,2.0,0.2286,39.6,125.157
400,7.2,0.1524,39.6,132.118
630,4.0,0.3048,39.6,131.073
315,0.0,0.2286,31.7,120.595
1250,0.0,0.1016,55.5,131.43
1600,0.0,0.3048,31.7,122.365
1000,3.3,0.1016,71.3,131.434
1000,6.7,0.1016,39.6,134.515
4000,15.4,0.0508,31.7,115.635
5000,0.0,0.3048,71.3,121.301
630,17.4,0.0254,55.5,122.411
3150,7.3,0.2286,39.6,114.309
3150,0.0,0.3048,71.3,125.201
1000,0.0,0.0508,55.5,125.586
1250,12.6,0.1524,71.3,120.154
315,1.5,0.3048,39.6,121.851
2000,0.0,0.2286,31.7,123.455
5000,3.3,0.1016,31.7,122.082
12500,1.5,0.3048,71.3,109.222
500,9.9,0.1524,71.3,131.279
1250,2.0,0.2286,39.6,128.257
1600,6.7,0.1016,39.6,127.375
800,3.0,0.3048,39.6,129.552
400,0.0,0.3048,39.6,124.809
5000,4.8,0.0254,55.5,135.484
500,15.4,0.0508,71.3,127.285
500,6.7,0.1016,31.7,130.206
4000,17.4,0.0254,39.6,122.724
4000,3.0,0.3048,39.6,116.792
5000,15.6,0.1016,39.6,106.224
2000,3.0,0.3048,31.7,120.088
4000,5.4,0.1524,55.5,119.737
6300,3.3,0.1016,71.3,124.904
8000,5.4,0.1524,55.5,114.927
2000,9.9,0.1524,39.6,117.925
6300,7.3,0.2286,55.5,111.534
315,15.4,0.0508,39.6,124.493
1000,0.0,0.1016,55.5,129.8
200,17.4,0.0254,31.7,116.146
630,0.0,0.1524,39.6,124.403
4000,0.0,0.2286,55.5,123.41
315,12.3,0.1016,31.7,124.717
1000,7.3,0.2286,39.6,122.539
1250,11.2,0.0508,71.3,136.191
250,15.6,0.1016,71.3,132.158
1250,6.7,0.1016,55.5,136.883
5000,0.0,0.1016,71.3,130.795
2500,3.0,0.3048,71.3,124.024
500,4.8,0.0254,39.6,116.366
6300,4.2,0.0508,39.6,125.717
630,2.7,0.1524,39.6,125.809
8000,0.0,0.0254,71.3,129.867
4000,12.7,0.0254,71.3,131.808
1250,3.3,0.1016,55.5,132.769
315,19.7,0.0508,39.6,129.864
2000,0.0,0.2286,55.5,126.54
250,8.9,0.1016,39.6,134.34
5000,8.9,0.1016,71.3,116.723
400,3.0,0.3048,39.6,125.472
1000,2.0,0.2286,71.3,128.956
630,12.6,0.1524,71.3,123.304
800,7.3,0.2286,71.3,130.748
250,4.0,0.3048,39.6,123.543
1600,0.0,0.0508,71.3,129.68
4000,0.0,0.2286,39.6,123.465
2500,0.0,0.3048,71.3,125.571
4000,0.0,0.0508,55.5,134.946
3150,12.7,0.0254,39.6,127.847
2500,12.7,0.0254,71.3,134.058
400,0.0,0.2286,39.6,123.565
500,22.2,0.0254,71.3,117.967
2500,0.0,0.0508,39.6,134.938
315,0.0,0.2286,39.6,121.055
10000,1.5,0.3048,39.6,108.991
2500,4.8,0.0254,71.3,130.828
2000,9.5,0.0254,31.7,130.496
2000,4.0,0.3048,71.3,124.395
5000,4.0,0.2286,31.7,115.969
8000,3.0,0.3048,55.5,113.799
630,15.4,0.0508,39.6,127.443
1250,4.0,0.2286,39.6,128.339
1250,0.0,0.2286,31.7,128.805
2500,4.8,0.0254,55.5,129.144
3150,0.0,0.0508,39.6,135.938
315,9.5,0.0254,31.7,122.766
2500,7.3,0.2286,31.7,114.709
630,8.4,0.0508,55.5,126.152
315,22.2,0.0254,39.6,120.716
315,12.6,0.1524,39.6,116.02
3150,4.8,0.0254,55.5,132.354
12500,0.0,0.0508,55.5,125.376
630,12.3,0.1016,39.6,121.315
1600,15.6,0.1016,71.3,121.528
8000,3.3,0.1016,55.5,120.569
500,12.6,0.1524,71.3,121.664
1000,0.0,0.0508,71.3,129.45
630,0.0,0.3048,39.6,128.629
3150,15.4,0.0508,71.3,125.715
2000,7.2,0.1524,39.6,120.228
8000,3.0,0.3048,39.6,110.652
630,5.4,0.1524,39.6,132.357
2000,4.8,0.0254,71.3,128.398
800,6.7,0.1016,71.3,134.478
1250,19.7,0.0508,39.6,118.634
630,5.3,0.2286,39.6,132.011
8000,0.0,0.3048,39.6,114.779
5000,0.0,0.1016,55.5,128.36
2500,4.0,0.2286,55.5,122.384
5000,9.5,0.0254,31.7,124.426
8000,0.0,0.1524,39.6,120.553
630,12.6,0.1524,39.6,116.55
630,7.3,0.2286,55.5,130.934
2500,4.2,0.0508,39.6,133.847
6300,0.0,0.0508,39.6,131.918
630,9.9,0.1524,55.5,127.315
10000,7.2,0.1524,71.3,110.313
6300,9.5,0.0254,39.6,120.324
400,7.3,0.2286,31.7,130.269
800,3.3,0.1016,55.5,129.119
1600,8.4,0.0508,71.3,133.846
3150,3.3,0.1016,31.7,128.252
5000,9.9,0.1524,31.7,109.949
1600,8.4,0.0508,55.5,133.032
3150,5.4,0.1524,71.3,123.311
2000,0.0,0.1016,71.3,132.095
200,12.3,0.1016,39.6,128.545
500,3.0,0.3048,39.6,127.632
400,9.5,0.0254,55.5,120.952
1000,0.0,0.1016,31.7,131.313
3150,17.4,0.0254,31.7,123.466
3150,15.4,0.0508,39.6,120.513
800,12.3,0.1016,31.7,120.037
1250,8.9,0.1016,71.3,132.793
800,0.0,0.1524,71.3,125.817
250,12.3,0.1016,71.3,131.568
630,9.5,0.0254,55.5,125.452
2500,2.7,0.1524,39.6,125.589
630,17.4,0.0254,31.7,136.886
6300,4.8,0.0254,55.5,135.164
800,2.0,0.2286,71.3,128.216
630,11.2,0.0508,39.6,133.13
6300,9.9,0.1524,39.6,109.885
3150,4.0,0.2286,55.5,122.394
500,19.7,0.0508,39.6,128.444
2000,15.4,0.0508,55.5,127.04
2500,0.0,0.1016,71.3,132.595
630,4.0,0.2286,55.5,129.964
2000,15.6,0.1016,39.6,110.894
5000,9.9,0.1524,71.3,114.569
400,7.3,0.2286,71.3,139.438
200,9.5,0.0254,39.6,116.074
6300,4.8,0.0254,71.3,134.498
6300,0.0,0.0254,39.6,136.826
2500,7.3,0.2286,39.6,116.559
3150,4.0,0.2286,71.3,124.108
2500,0.0,0.1016,39.6,132.611
6300,5.3,0.2286,39.6,112.541
2000,12.3,0.1016,39.6,114.085
1250,0.0,0.3048,71.3,125.951
1000,0.0,0.0254,31.7,125.127
2500,8.9,0.1016,39.6,119.19
1600,0.0,0.2286,55.5,126.79
2500,7.2,0.1524,39.6,117.478
630,4.0,0.2286,71.3,129.038
400,22.2,0.0254,71.3,117.927
5000,17.4,0.0254,55.5,118.941
1000,15.4,0.0508,55.5,130.4
5000,15.4,0.0508,71.3,119.135
500,0.0,0.1524,55.5,120.573
315,7.3,0.2286,31.7,130.239
500,0.0,0.3048,39.6,126.959
5000,12.7,0.0254,71.3,128.978
5000,0.0,0.0508,55.5,134.556
10000,3.3,0.1016,55.5,115.659
1250,12.3,0.1016,55.5,124.214
630,7.2,0.1524,71.3,134.853
800,17.4,0.0254,39.6,135.324
250,7.2,0.1524,39.6,127.488
6300,7.2,0.1524,39.6,112.688
1600,11.2,0.0508,71.3,135.191
1250,9.5,0.0254,31.7,131.446
5000,12.6,0.1524,39.6,104.13
500,9.9,0.1524,31.7,127.179
400,17.4,0.0254,71.3,117.396
400,5.4,0.1524,39.6,127.637
630,7.3,0.2286,39.6,128.929
800,2.0,0.2286,39.6,129.037
5000,3.0,0.3048,39.6,115.792
2500,0.0,0.1016,31.7,132.003
3150,11.2,0.0508,71.3,127.141
4000,15.4,0.0508,55.5,120.92
800,5.4,0.1524,55.5,133.097
2000,3.0,0.3048,55.5,123.069
2500,22.2,0.0254,71.3,126.097
250,11.2,0.0508,71.3,127.101
4000,4.8,0.0254,31.7,135.328
500,8.4,0.0508,55.5,123.742
500,7.3,0.2286,55.5,133.174
200,9.5,0.0254,31.7,119.146
400,8.4,0.0508,55.5,121.582
630,15.4,0.0508,71.3,129.645
200,8.9,0.1016,71.3,133.503
1250,3.3,0.1016,31.7,134.022
6300,12.6,0.1524,71.3,107.284
12500,2.7,0.1524,71.3,113.034
200,15.4,0.0508,55.5,122.94
2500,0.0,0.0254,39.6,131.836
1250,3.3,0.1016,39.6,133.211
5000,0.0,0.0508,71.3,134.43
4000,8.9,0.1016,39.6,116.22
630,3.0,0.3048,71.3,129.354
1000,15.4,0.0508,71.3,131.865
800,1.5,0.3048,39.6,128.831
400,4.0,0.3048,71.3,129.575
4000,0.0,0.2286,31.7,122.035
1250,22.2,0.0254,71.3,140.987
1250,15.6,0.1016,39.6,118.214
3150,22.2,0.0254,71.3,124.127
630,8.9,0.1016,39.6,131.92
2500,5.4,0.1524,71.3,127.591
5000,5.4,0.1524,55.5,118.757
315,7.2,0.1524,39.6,130.558
3150,19.7,0.0508,71.3,116.225
800,15.4,0.0508,71.3,131.515
200,19.7,0.0508,71.3,118.005
3150,2.0,0.2286,71.3,126.116
6300,3.3,0.1016,55.5,123.839
2000,8.4,0.0508,31.7,127.686
500,15.4,0.0508,55.5,127.22
800,12.6,0.1524,71.3,123.054
630,0.0,0.1016,55.5,126.17
1000,17.4,0.0254,31.7,131.796
2000,4.8,0.0254,31.7,130.148
1000,8.4,0.0508,71.3,129.946
500,11.2,0.0508,71.3,130.311
3150,15.6,0.1016,39.6,109.254
1250,9.5,0.0254,71.3,131.656
2000,6.7,0.1016,31.7,120.446
1600,7.3,0.2286,31.7,119.039
1000,4.0,0.2286,39.6,129.969
2000,4.0,0.2286,55.5,124.254
400,4.0,0.2286,55.5,123.274
630,0.0,0.1016,71.3,124.155
1000,5.3,0.2286,39.6,125.581
1600,2.7,0.1524,71.3,130.644
800,12.3,0.1016,71.3,127.318
8000,4.0,0.2286,71.3,112.848
12500,0.0,0.1016,71.3,119.375
800,9.5,0.0254,71.3,127.206
5000,7.3,0.2286,31.7,111.029
12500,4.0,0.3048,71.3,107.405
1600,15.4,0.0508,71.3,130.065
5000,8.4,0.0508,55.5,115.812
250,17.4,0.0254,31.7,116.956
2000,5.4,0.1524,55.5,128.707
1000,4.2,0.0508,39.6,125.647
4000,3.3,0.1016,71.3,128.704
2500,5.4,0.1524,55.5,124.077
1250,0.0,0.3048,31.7,124.355
500,5.3,0.2286,71.3,129.88
1250,3.0,0.3048,71.3,127.634
630,3.0,0.3048,55.5,129.569
1000,7.2,0.1524,71.3,134.273
800,19.7,0.0508,39.6,119.174
2500,0.0,0.1524,71.3,128.127
500,11.2,0.0508,39.6,131.96
8000,4.8,0.0254,31.7,127.008
5000,2.7,0.1524,39.6,121.499
1600,3.3,0.1016,71.3,133.664
10000,0.0,0.0508,55.5,127.636
1000,9.9,0.1524,31.7,122.149
2500,12.3,0.1016,71.3,121.318
1000,7.3,0.2286,71.3,126.838
500,19.7,0.0508,71.3,126.995
2000,5.3,0.2286,71.3,125.89
5000,4.0,0.3048,71.3,117.785
12500,0.0,0.0254,39.6,129.116
800,12.3,0.1016,39.6,122.315
630,12.3,0.1016,55.5,124.244
1600,2.7,0.1524,39.6,130.049
1250,9.9,0.1524,71.3,122.679
8000,15.4,0.0508,71.3,112.675
500,3.0,0.3048,71.3,128.454
250,4.0,0.3048,71.3,126.395
800,6.7,0.1016,31.7,132.886
4000,2.0,0.2286,71.3,124.086
1600,9.9,0.1524,39.6,118.545
5000,3.3,0.1016,55.5,124.839
8000,7.2,0.1524,39.6,111.588
12500,4.0,0.2286,71.3,114.258
200,9.9,0.1524,31.7,127.299
630,8.9,0.1016,71.3,138.423
1000,7.3,0.2286,55.5,125.194
1000,17.4,0.0254,71.3,125.816
3150,0.0,0.1016,71.3,131.955
2500,8.4,0.0508,55.5,131.542
800,8.4,0.0508,39.6,128.435
400,7.2,0.1524,71.3,130.123
630,7.3,0.2286,71.3,133.768
400,17.4,0.0254,39.6,115.444
4000,9.9,0.1524,31.7,111.459
2500,6.7,0.1016,71.3,131.458
315,2.0,0.2286,39.6,120.137
1000,8.4,0.0508,39.6,130.195
1000,0.0,0.3048,71.3,125.201
500,6.7,0.1016,39.6,130.955
16000,4.8,0.0254,71.3,124.208
1600,11.2,0.0508,39.6,126.54
2500,8.9,0.1016,71.3,123.623
400,3.0,0.3048,31.7,125.398
1600,0.0,0.2286,31.7,125.625
1600,5.4,0.1524,31.7,123.761
6300,15.4,0.0508,55.5,112.93
2500,12.6,0.1524,39.6,106.88
315,15.4,0.0508,71.3,126.195
500,12.3,0.1016,71.3,140.158
2000,0.0,0.1524,71.3,128.647
8000,4.8,0.0254,71.3,131.518
1250,9.9,0.1524,39.6,120.555
1250,11.2,0.0508,39.6,130.05
1600,0.0,0.1524,39.6,131.013
315,12.7,0.0254,39.6,123.537
5000,9.5,0.0254,71.3,131.186
2500,19.7,0.0508,71.3,118.385
12500,0.0,0.0508,39.6,123.988
5000,12.6,0.1524,71.3,108.034
1250,6.7,0.1016,31.7,129.256
4000,12.3,0.1016,31.7,108.407
2000,17.4,0.0254,55.5,125.261
500,8.9,0.1016,71.3,138.523
6300,5.4,0.1524,39.6,116.677
500,2.7,0.1524,39.6,121.009
5000,1.5,0.3048,71.3,119.632
3150,4.0,0.3048,39.6,118.743
1250,4.0,0.3048,71.3,129.395
3150,3.3,0.1016,71.3,132.114
2500,22.2,0.0254,39.6,121.306
10000,3.0,0.3048,71.3,110.224
2000,6.7,0.1016,39.6,122.235
250,9.5,0.0254,31.7,120.136
1000,0.0,0.1524,55.5,128.583
2000,0.0,0.1016,55.5,132.54
400,17.4,0.0254,55.5,115.461
400,11.2,0.0508,71.3,129.281
3150,2.7,0.1524,39.6,122.919
2000,0.0,0.0508,71.3,131.06
315,12.3,0.1016,71.3,137.068
1250,9.9,0.1524,55.5,121.635
200,15.4,0.0508,71.3,123.595
1000,3.3,0.1016,31.7,133.012
4000,0.0,0.3048,71.3,123.061
3150,12.3,0.1016,31.7,110.307
500,9.9,0.1524,39.6,126.835
1250,12.3,0.1016,31.7,118.767
8000,0.0,0.0508,31.7,126.59
1600,7.2,0.1524,71.3,130.893
1000,9.5,0.0254,31.7,131.346
4000,0.0,0.2286,71.3,125.824
1000,12.7,0.0254,39.6,130.947
16000,0.0,0.0254,55.5,125.683
3150,5.4,0.1524,55.5,121.587
800,11.2,0.0508,71.3,136.031
630,7.3,0.2286,31.7,126.189
10000,4.8,0.0254,71.3,127.398
6300,22.2,0.0254,71.3,123.127
800,9.9,0.1524,31.7,125.539
1000,6.7,0.1016,71.3,136.758
4000,0.0,0.1016,71.3,130.935
3150,17.4,0.0254,55.5,124.101
250,9.9,0.1524,71.3,135.329
5000,0.0,0.2286,71.3,124.304
6300,8.9,0.1016,39.6,113.11
1000,0.0,0.2286,31.7,130.595
5000,0.0,0.2286,39.6,122.175
800,1.5,0.3048,71.3,127.122
2000,5.3,0.2286,39.6,117.911
630,0.0,0.3048,31.7,129.095
1600,0.0,0.2286,71.3,129.134
2000,12.7,0.0254,71.3,134.228
2500,4.8,0.0254,31.7,132.588
5000,17.4,0.0254,71.3,123.126
200,17.4,0.0254,55.5,109.951
630,0.0,0.2286,31.7,129.465
6300,8.9,0.1016,71.3,117.253
1250,8.4,0.0508,55.5,132.252
2500,0.0,0.2286,39.6,125.025
4000,3.3,0.1016,31.7,124.852
250,4.0,0.2286,31.7,120.189
6300,12.3,0.1016,31.7,107.267
1000,0.0,0.0508,39.6,127.638
6300,2.0,0.2286,39.6,116.417
200,19.7,0.0508,39.6,125.974
1600,0.0,0.1016,55.5,132.05
16000,0.0,0.0254,39.6,124.986
400,0.0,0.2286,31.7,123.635
4000,7.3,0.2286,39.6,114.079
6300,5.4,0.1524,55.5,117.287
4000,4.0,0.2286,39.6,119.159
8000,4.0,0.3048,71.3,113.665
1000,12.3,0.1016,71.3,127.928
1250,4.8,0.0254,31.7,127.408
500,17.4,0.0254,71.3,119.806
400,22.2,0.0254,39.6,123.416
5000,9.9,0.1524,39.6,111.135
2000,17.4,0.0254,39.6,126.644
1250,4.2,0.0508,39.6,128.427
6300,9.9,0.1524,71.3,112.039
315,3.0,0.3048,31.7,123.118
630,12.7,0.0254,71.3,128.878
3150,9.9,0.1524,39.6,113.525
1250,0.0,0.1524,31.7,131.467
6300,0.0,0.1524,31.7,119.737
1600,2.0,0.2286,39.6,125.837
1000,1.5,0.3048,39.6,127.581
315,5.3,0.2286,39.6,129.691
3150,2.7,0.1524,71.3,127.054
2000,0.0,0.0254,31.7,130.697
2500,3.0,0.3048,55.5,122.439
1250,0.0,0.1016,39.6,132.271
1600,8.4,0.0508,31.7,129.296
4000,4.0,0.2286,71.3,121.728
1250,2.7,0.1524,71.3,130.144
4000,4.8,0.0254,39.6,134.996
500,0.0,0.1524,31.7,121.617
12500,4.2,0.0508,71.3,117.328
400,6.7,0.1016,39.6,128.295
1250,7.3,0.2286,39.6,123.189
315,9.9,0.1524,71.3,135.459
2500,1.5,0.3048,39.6,120.981
2500,4.0,0.2286,71.3,124.338
1250,0.0,0.3048,55.5,126.086
630,22.2,0.0254,71.3,120.657
1000,22.2,0.0254,39.6,128.416
4000,0.0,0.1016,55.5,129.5
800,3.0,0.3048,71.3,129.494
1250,12.3,0.1016,71.3,126.648
1000,8.4,0.0508,31.7,129.516
1250,6.7,0.1016,71.3,137.658
1600,15.4,0.0508,39.6,124.843
630,6.7,0.1016,55.5,133.023
20000,0.0,0.0254,71.3,123.217
1250,0.0,0.0508,31.7,129.27
8000,0.0,0.1016,31.7,120.193
5000,2.0,0.2286,31.7,118.267
1600,7.3,0.2286,55.5,123.354
315,3.0,0.3048,39.6,123.312
2000,11.2,0.0508,71.3,133.311
3150,5.4,0.1524,39.6,119.137
2000,15.6,0.1016,71.3,119.888
1250,0.0,0.1016,31.7,133.063
2000,4.0,0.2286,71.3,126.218
500,0.0,0.2286,31.7,126.675
5000,9.5,0.0254,55.5,128.412
8000,0.0,0.0508,39.6,128.518
1600,17.4,0.0254,31.7,126.846
1250,0.0,0.2286,39.6,129.395
4000,0.0,0.3048,39.6,119.229
